Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,487,1916,22,22,0,0,2403,2837,0,0,94,184,534,0,642,0,0
Node1,48,251,743,825,1545,1965,299,504,1545,1893,312,542,21,0,140,0,0
Node2,332,1444,225,270,408,692,1776,2738,408,669,62,133,708,0,621,0,0
Node3,20,171,414,564,1319,2125,191,277,1319,1967,296,521,30,0,93,0,0
Node4,404,1382,176,222,399,645,1786,1898,399,638,38,75,1218,0,187,0,0
Node5,45,152,712,768,1006,1094,197,310,1006,1085,295,358,108,0,91,0,0
Node6,64,1169,208,263,374,462,1233,1312,374,454,37,77,774,0,130,0,0
Node7,40,598,163,203,1278,1335,638,715,1278,1332,209,228,174,0,207,0,0
Node8,0,0,105,131,795,871,0,0,795,868,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
