Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000008195690_Node0_Node8_Zero,2000.020805,2000.086294,1,RetryLimit,0,0,nan
2000016397037_Node0_Node8_Zero,2000.128237,2000.247715,1,RetryLimit,210,0,nan
2000024591185_Node0_Node8_Zero,2000.132073,2000.505761,1,RetryLimit,1007,0,nan
2000040985935_Node0_Node8_Zero,2000.228794,2000.358629,1,RetryLimit,790,0,nan
2000073767449_Node0_Node8_Zero,2000.29557,2000.58596,1,RetryLimit,797,0,nan
2000032785216_Node0_Node8_Zero,2000.299462,2000.49224,1,RetryLimit,709,0,nan
2000081960275_Node0_Node8_Zero,2000.301409,2000.660364,1,RetryLimit,620,0,nan
2000106552486_Node0_Node8_Zero,2000.307339,2000.642401,1,RetryLimit,574,0,nan
2000057378628_Node0_Node8_Zero,2000.361686,2000.458351,1,RetryLimit,81,0,nan
2000090157148_Node0_Node8_Zero,2000.440856,2000.955697,1,RetryLimit,548,0,nan
2000131136112_Node0_Node8_Zero,2000.576006,2000.787475,1,RetryLimit,198,0,nan
2000114749341_Node0_Node8_Zero,2000.609906,2001.064474,1,RetryLimit,469,0,nan
2000147527410_Node0_Node8_Zero,2000.714215,2001.11016,1,RetryLimit,468,0,nan
2000163923377_Node0_Node8_Zero,2000.722193,2000.856102,1,RetryLimit,374,0,nan
2000180325791_Node0_Node8_Zero,2000.759277,2000.904443,1,RetryLimit,332,0,nan
2000139329667_Node0_Node8_Zero,2000.825272,2000.942926,1,RetryLimit,271,0,nan
2000049185659_Node0_Node8_Zero,2000.966534,2001.010665,1,RetryLimit,0,0,nan
2000172124475_Node0_Node8_Zero,2002.224587,2002.281846,1,RetryLimit,9,1.6588986571063247e-13,nan
2000245911824_Node0_Node8_Zero,2002.248329,2002.363518,0,,3,7.572525408e-13,0
2000237712882_Node0_Node8_Zero,2002.255043,2002.363518,0,,3,7.572525408e-13,0
2000254104777_Node0_Node8_Zero,2002.261151,2002.363518,0,,2,7.572525408e-13,0
2000262305788_Node0_Node8_Zero,2002.361607,2002.364428,0,,0,7.572525408e-13,0
2000270506205_Node0_Node8_Zero,2002.518948,2002.52,0,,0,7.572525408e-13,0
2000278704672_Node0_Node8_Zero,2002.52206,2002.528145,0,,92,7.572525408e-13,0
2000311488637_Node0_Node8_Zero,2002.530061,2002.532884,0,,2,7.572525408e-13,0
2000286904378_Node0_Node8_Zero,2002.536887,2002.543589,0,,131,7.572525408e-13,0
2000303294106_Node0_Node8_Zero,2002.538847,2002.550781,0,,277,8.887199958e-13,0
2000360670749_Node0_Node8_Zero,2002.656525,2002.660353,0,,3,1.3146745500000003e-13,5.842998000000001e-14
2000352476231_Node0_Node8_Zero,2002.664465,2002.677925,0,,151,7.9011940455e-13,0
2000368871489_Node0_Node8_Zero,2002.666464,2002.702243,0,,768,8.19571959162684e-13,0
2000385260778_Node0_Node8_Zero,2002.752269,2002.762325,0,,274,7.572525408e-13,0
2000434437620_Node0_Node8_Zero,2002.760874,2002.781012,0,,15,7.572525408e-13,0
2000450831622_Node0_Node8_Zero,2002.768923,2002.781012,0,,14,7.572525408e-13,0
2000409847520_Node0_Node8_Zero,2002.771802,2002.786881,0,,2,7.572525408e-13,0
2000442633004_Node0_Node8_Zero,2002.77528,2002.786881,0,,2,7.572525408e-13,0
2000426245790_Node0_Node8_Zero,2002.779454,2002.786881,0,,2,7.572525408e-13,0
2000467224377_Node0_Node8_Zero,2002.782895,2002.790331,0,,5,8.887199958e-13,0
2000475420397_Node0_Node8_Zero,2002.788787,2002.793191,0,,6,7.572525408e-13,0
2000459030471_Node0_Node8_Zero,2002.792393,2002.802291,0,,61,1.3146745500000003e-13,5.842998000000001e-14
2000508203470_Node0_Node8_Zero,2002.796879,2002.803136,0,,48,1.3146745500000003e-13,5.842998000000001e-14
2000483617394_Node0_Node8_Zero,2002.836521,2002.864497,0,,150,7.572525408e-13,0
2000524591351_Node0_Node8_Zero,2002.860259,2003.151196,0,,2,7.572525408e-13,0
2000377068788_Node0_Node8_Zero,2003.149665,2003.151196,0,,0,7.572525408e-13,0
2000500010739_Node0_Node8_Zero,2003.28637,2003.289764,0,,0,7.572525408e-13,0
2000565578674_Node0_Node8_Zero,2003.522297,2003.530084,0,,179,9.2197672455e-13,0
2000573774322_Node0_Node8_Zero,2003.522297,2003.530084,0,,179,9.2197672455e-13,0
2000581975346_Node0_Node8_Zero,2003.522297,2003.530084,0,,179,9.2197672455e-13,0
2000590168769_Node0_Node8_Zero,2003.526218,2003.534073,0,,166,7.572525408e-13,0
2000622951990_Node0_Node8_Zero,2003.526218,2003.534073,0,,166,7.572525408e-13,0
2000631145247_Node0_Node8_Zero,2003.526218,2003.534073,0,,166,7.572525408e-13,0
2000639339130_Node0_Node8_Zero,2003.528088,2003.535943,0,,77,7.572525408e-13,0
2000647534140_Node0_Node8_Zero,2003.528088,2003.535943,0,,77,7.572525408e-13,0
2000655734926_Node0_Node8_Zero,2003.528088,2003.535943,0,,77,7.572525408e-13,0
2000663936057_Node0_Node8_Zero,2003.537836,2003.539787,0,,0,7.572525408e-13,0
2000672135609_Node0_Node8_Zero,2003.537836,2003.539787,0,,0,7.572525408e-13,0
2000704918871_Node0_Node8_Zero,2003.537836,2003.539787,0,,0,7.572525408e-13,0
2000713114968_Node0_Node8_Zero,2003.541769,2003.547759,0,,33,7.572525408e-13,0
2000721309402_Node0_Node8_Zero,2003.541769,2003.547759,0,,33,7.572525408e-13,0
