Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.6-2001.6,122,31,0.2540983606557377,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2001.6-2002.6,122,22,0.18032786885245902,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2002.6-2003.6,122,168,1.3770491803278688,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2003.6-2004.6,122,4,0.03278688524590164,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2004.6-2005.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2005.6-2006.6,122,32,0.26229508196721313,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2006.6-2007.6,122,25,0.20491803278688525,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2007.6-2008.6,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2008.6-2009.6,122,23,0.1885245901639344,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2009.6-2010.6,52,32,0.6153846153846154,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2010.6-2011.6,0,19,19.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
2011.6-2012.6,0,27,27.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_1000m_mcs_adaptive_2Mbps_0.95decrement_threshold/Flow_Node0-Node8.csv
