Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000005463450_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.005463,2000.005533,0.081908,0,56,2343.0,"0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297",0.007664,0.426819,2.396369,11,11
2000010932556_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.010933,2000.011746,inf,0,14,2343.0,"0.0053220512539897905,0.008510450648255292",0.006916,0.489978,inf,11,11
2000016392189_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.016392,2000.024311,0.16988,0,53,2343.0,"0.009307550496821668,0.00583219515707227,0.007723191538560106,0.005875592815494218,0.019302450895609696,0.006371351637203105,0.005947970674682594,0.005801270810457718",0.00827,0.304984,1.813992,11,11
2000021855113_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.021855,2000.030317,0.326191,0,55,2343.0,"0.009020594551337774,0.008953283897458834,0.01475742980248274,0.006904416930022412,0.0064880853232065095,0.006040702898882034,0.005502799518970827,0.005568069725769537",0.007904,0.689095,1.741072,11,11
2000027321022_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.027321,2000.030537,0.920345,0,53,2343.0,"0.01858579273413428,0.006119151102556166,0.006306125141108773,0.0180756488310518,0.00571589748612862,0.015424081350986316,0.0053220512539897905,0.006570678163155241",0.010265,0.334268,2.054576,11,11
2000032782263_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.032782,2000.033923,0.230128,0,56,2343.0,"0.01858579273413428,0.0180756488310518,0.006909509879413096,0.01592490422428315,0.0053220512539897905,0.0053220512539897905,0.00593316615436108,0.005564068654326248",0.010205,0.607392,1.739821,11,11
2000038251185_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.038251,2000.046649,inf,0,2,2343.0,0.006119151102556166,0.006119151102556166,1.913389,inf,11,11
2000043720582_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.043721,2000.049842,0.985405,0,56,2343.0,"0.0053220512539897905,0.013214950237891094,0.006306125141108773,0.007611415330364217,0.01545631916231351,0.015688685963040464,0.005524137520530137,0.006067179851490391",0.009399,0.740145,1.897138,11,11
2000049180335_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.04918,2000.050187,0.585257,0,56,2343.0,"0.0053220512539897905,0.012989564157476631,0.0053220512539897905,0.005902363810348732,0.016539857629099222,0.005716752927488594,0.006003730424775417,0.005943201923754137",0.007967,0.296402,1.858372,11,11
2000054644427_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.054644,2000.060521,inf,0,11,2343.0,"0.0053220512539897905,0.0059391543033616165",0.005631,0.25427,inf,11,11
