Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,235,2615,20,20,0,0,2850,3918,0,0,264,747,4000,0,336,0,0
Node1,80,200,371,447,3045,4476,280,513,3045,4395,316,850,2668,0,72,0,0
Node2,247,399,123,182,422,1069,646,1106,422,1029,240,730,488,0,180,0,0
Node3,296,314,131,213,496,1044,610,955,496,994,187,510,1196,0,148,0,0
Node4,143,563,183,242,439,874,706,790,439,850,25,81,2452,0,76,0,0
Node5,24,196,511,551,474,549,220,269,474,548,163,206,476,0,144,0,0
Node6,3,97,41,55,354,430,100,170,354,430,127,177,176,0,76,0,0
Node7,0,186,31,74,217,301,186,234,217,301,65,109,340,0,36,0,0
Node8,0,0,46,95,268,319,0,0,268,318,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
