Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,6,7,0,0,0,0,13,13,0,0,608,609,0,0,5,0,0
Node1,6,7,8,8,608,609,13,20,608,609,605,607,0,0,10,0,0
Node2,8,7,8,16,605,607,15,32,605,607,600,604,0,0,15,0,0
Node3,1,7,8,24,600,604,8,22,600,604,596,601,0,0,15,0,0
Node4,2,7,8,24,596,601,9,23,596,601,593,598,0,0,15,0,0
Node5,0,7,8,24,593,598,7,21,593,598,591,595,0,0,15,0,0
Node6,0,7,8,24,591,595,7,21,591,595,589,592,0,0,15,0,0
Node7,0,7,8,24,589,592,7,21,589,592,585,589,0,0,15,0,0
Node8,0,0,8,24,585,589,0,0,585,589,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
