Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000262301640_Node0_Node8_Zero,2000.367115,2000.399071,1,RetryLimit,190,0,nan
2000278692094_Node0_Node8_Zero,2000.367115,2000.399071,1,RetryLimit,190,0,nan
2000295087605_Node0_Node8_Zero,2000.367115,2000.399071,1,RetryLimit,190,0,nan
2000311481780_Node0_Node8_Zero,2000.369203,2000.401962,0,,138,5.2586982e-13,0
2000327873721_Node0_Node8_Zero,2000.369203,2000.401962,0,,138,5.2586982e-13,0
2000344271304_Node0_Node8_Zero,2000.369203,2000.401962,0,,138,5.2586982e-13,0
2000360668922_Node0_Node8_Zero,2000.372036,2000.453396,1,RetryLimit,953,0,nan
2000377064900_Node0_Node8_Zero,2000.383187,2000.453396,1,RetryLimit,885,0,nan
2000393454230_Node0_Node8_Zero,2000.4028,2000.455517,0,,865,6.422582946706657e-13,8.082532963240676e-14
2000409852032_Node0_Node8_Zero,2000.420669,2000.455517,0,,423,6.422582946706657e-13,8.082532963240676e-14
2000426249410_Node0_Node8_Zero,2000.508568,2000.50935,0,,1,5.2586982e-13,0
2000442642582_Node0_Node8_Zero,2000.561048,2000.562291,0,,1,5.860830647511991e-13,4.4238302266187127e-14
2000459031736_Node0_Node8_Zero,2000.561048,2000.562291,0,,1,5.860830647511991e-13,4.4238302266187127e-14
2000475420367_Node0_Node8_Zero,2000.683003,2000.683746,0,,1,5.2586982e-13,0
2000721316339_Node0_Node8_Zero,2001.781467,2001.783489,0,,1,5.525456302277297e-13,1.9598554453025893e-14
2000770494894_Node0_Node8_Zero,2001.781467,2001.783489,0,,1,5.525456302277297e-13,1.9598554453025893e-14
2000786887153_Node0_Node8_Zero,2001.781467,2001.783489,0,,1,5.525456302277297e-13,1.9598554453025893e-14
2000737714038_Node0_Node8_Zero,2001.781467,2001.790792,0,,297,5.2586982e-13,0
2000754104497_Node0_Node8_Zero,2001.789774,2001.794683,0,,92,5.678398656000001e-13,0
2000803277512_Node0_Node8_Zero,2001.789774,2001.794683,0,,92,5.678398656000001e-13,0
2000819673499_Node0_Node8_Zero,2001.789774,2001.794683,0,,92,5.678398656000001e-13,0
2000836070422_Node0_Node8_Zero,2001.789774,2001.798542,0,,181,5.40477315e-13,0
2000852467135_Node0_Node8_Zero,2001.79268,2001.798542,0,,91,5.40477315e-13,0
2000868863556_Node0_Node8_Zero,2001.79268,2001.798542,0,,91,5.40477315e-13,0
2000885252826_Node0_Node8_Zero,2001.79268,2001.800458,0,,92,5.2586982e-13,0
2000901644155_Node0_Node8_Zero,2001.79268,2001.800458,0,,92,5.2586982e-13,0
2000918040239_Node0_Node8_Zero,2001.796561,2001.800458,0,,2,5.2586982e-13,0
2000934435352_Node0_Node8_Zero,2001.796561,2001.804403,0,,93,5.40477315e-13,0
2000950828797_Node0_Node8_Zero,2001.796561,2001.804403,0,,93,5.40477315e-13,0
2000967223049_Node0_Node8_Zero,2001.796561,2001.804403,0,,93,5.40477315e-13,0
2000983616592_Node0_Node8_Zero,2001.802317,2001.808303,0,,92,5.456528946997147e-13,0
2001000011173_Node0_Node8_Zero,2001.802317,2001.808303,0,,92,5.456528946997147e-13,0
2001311485650_Node0_Node8_Zero,2001.802317,2001.808303,0,,92,5.456528946997147e-13,0
2001327880737_Node0_Node8_Zero,2001.802317,2001.816053,0,,315,6.459117898566239e-14,4.485498540670999e-14
2001360659388_Node0_Node8_Zero,2001.80632,2001.816053,0,,225,6.459117898566239e-14,4.485498540670999e-14
2001377057451_Node0_Node8_Zero,2001.80632,2001.816053,0,,225,6.459117898566239e-14,4.485498540670999e-14
2001393453005_Node0_Node8_Zero,2001.80632,2001.819014,0,,274,1.9783074699714616e-14,1.453450386101482e-14
2001344270342_Node0_Node8_Zero,2001.80632,2001.819014,0,,274,1.9783074699714616e-14,1.453450386101482e-14
2001426232183_Node0_Node8_Zero,2001.813546,2001.819014,0,,50,1.9783074699714616e-14,1.453450386101482e-14
2001409842405_Node0_Node8_Zero,2001.813546,2001.820478,0,,52,5.2586982e-13,0
2001459019854_Node0_Node8_Zero,2001.813546,2001.820478,0,,52,5.2586982e-13,0
2001508203392_Node0_Node8_Zero,2002.099672,2002.892844,1,RetryLimit,4621,0,nan
2001573776768_Node0_Node8_Zero,2002.101474,2002.261879,1,RetryLimit,3011,1.5993063220583713e-14,nan
2001540988188_Node0_Node8_Zero,2002.112721,2002.976931,1,RetryLimit,4617,0,nan
2001557383733_Node0_Node8_Zero,2002.112721,2002.976931,1,RetryLimit,4617,0,nan
2001606565750_Node0_Node8_Zero,2002.156172,2002.883703,1,RetryLimit,4611,0,nan
2001622963536_Node0_Node8_Zero,2002.156172,2002.883703,1,RetryLimit,4611,0,nan
2001590167679_Node0_Node8_Zero,2002.157804,2003.47142,1,RetryLimit,4551,0,nan
2001639358889_Node0_Node8_Zero,2002.157804,2003.47142,1,RetryLimit,4551,0,nan
2001655756521_Node0_Node8_Zero,2002.165482,2003.485167,1,RetryLimit,4283,0,nan
2001672147003_Node0_Node8_Zero,2002.165482,2003.485167,1,RetryLimit,4283,0,nan
2001688540882_Node0_Node8_Zero,2002.165482,2004.71466,1,Expiry,4319,0,nan
2001704930898_Node0_Node8_Zero,2002.183396,2004.71466,1,Expiry,3511,0,nan
2001721327164_Node0_Node8_Zero,2002.187329,2004.597483,1,RetryLimit,3296,0,nan
2001737724322_Node0_Node8_Zero,2002.187329,2004.597483,1,RetryLimit,3296,0,nan
2001754121555_Node0_Node8_Zero,2002.187329,2003.338525,1,RetryLimit,3294,0,nan
2001770516321_Node0_Node8_Zero,2002.188143,2003.338525,1,RetryLimit,3262,0,nan
2001786906050_Node0_Node8_Zero,2002.20034,2004.794431,1,Expiry,2792,0,nan
2001803299408_Node0_Node8_Zero,2002.20034,2004.794431,1,RetryLimit,2792,0,nan
2001819696279_Node0_Node8_Zero,2002.20034,2003.28919,1,RetryLimit,2756,0,nan
2001836092646_Node0_Node8_Zero,2002.204717,2003.28919,1,RetryLimit,2570,0,nan
2001852482494_Node0_Node8_Zero,2002.204717,2003.407658,1,RetryLimit,2570,0,nan
2001868877274_Node0_Node8_Zero,2002.204717,2003.407658,1,RetryLimit,2570,0,nan
