Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000005463450_Node0_Node8_Zero,2000.005463,2000.007349,0,,0,1.183207095e-12,0
2000010932556_Node0_Node8_Zero,2000.010933,2000.015316,0,,0,1.183207095e-12,0
2000016399921_Node0_Node8_Zero,2000.0164,2000.022746,0,,0,1.183207095e-12,0
2000021863889_Node0_Node8_Zero,2000.021864,2000.029454,0,,0,1.183207095e-12,0
2000027328719_Node0_Node8_Zero,2000.027329,2000.035662,0,,0,1.183207095e-12,0
2000032796908_Node0_Node8_Zero,2000.032797,2000.041678,0,,0,1.183207095e-12,0
2000038258828_Node0_Node8_Zero,2000.038259,2000.045711,0,,0,1.183207095e-12,0
2000043727750_Node0_Node8_Zero,2000.043728,2000.047681,0,,0,1.183207095e-12,0
2000049193718_Node0_Node8_Zero,2000.049194,2000.060353,0,,0,1.183207095e-12,0
2000054659916_Node0_Node8_Zero,2000.05466,2000.067475,0,,0,1.183207095e-12,0
2000060125781_Node0_Node8_Zero,2000.060126,2000.069465,0,,0,1.183207095e-12,0
2000065589909_Node0_Node8_Zero,2000.06559,2000.073252,0,,0,1.183207095e-12,0
2000071059068_Node0_Node8_Zero,2000.071059,2000.075282,0,,0,1.183207095e-12,0
2000076527946_Node0_Node8_Zero,2000.076528,2000.085817,0,,0,1.183207095e-12,0
2000081990214_Node0_Node8_Zero,2000.08199,2000.092227,0,,0,1.183207095e-12,0
2000087455000_Node0_Node8_Zero,2000.087455,2000.094097,0,,0,1.183207095e-12,0
2000092923214_Node0_Node8_Zero,2000.092923,2000.101735,0,,0,5.842998000000001e-14,1.3146745500000003e-13
2000098388469_Node0_Node8_Zero,2000.098388,2000.103724,0,,0,1.183207095e-12,0
2000103855351_Node0_Node8_Zero,2000.103855,2000.105741,0,,0,1.183207095e-12,0
2000109317830_Node0_Node8_Zero,2000.109318,2000.116703,0,,0,1.241637075e-12,0
2000114786898_Node0_Node8_Zero,2000.114787,2000.122296,0,,0,1.183207095e-12,0
2000120250723_Node0_Node8_Zero,2000.120251,2000.124466,0,,0,1.183207095e-12,0
2000125713066_Node0_Node8_Zero,2000.125713,2000.137064,0,,0,1.2477143224416938e-12,0
2000131178551_Node0_Node8_Zero,2000.131179,2000.144036,0,,0,1.183207095e-12,0
2000136641426_Node0_Node8_Zero,2000.136641,2000.149233,0,,0,1.183207095e-12,0
2000142110388_Node0_Node8_Zero,2000.14211,2000.151116,0,,0,1.183207095e-12,0
2000147575073_Node0_Node8_Zero,2000.147575,2000.156853,0,,0,1.183207095e-12,0
2000153037960_Node0_Node8_Zero,2000.153038,2000.16166,0,,0,1.183207095e-12,0
2000158501928_Node0_Node8_Zero,2000.158502,2000.167428,0,,0,1.183207095e-12,1.3146745500000003e-13
2000163969828_Node0_Node8_Zero,2000.16397,2000.200657,0,,0,1.183207095e-12,0
2000169438717_Node0_Node8_Zero,2000.169439,2000.206503,0,,0,1.183207095e-12,0
2000174898601_Node0_Node8_Zero,2000.174899,2000.210349,0,,0,1.183207095e-12,0
2000180360723_Node0_Node8_Zero,2000.180361,2000.225979,0,,0,1.183207095e-12,0
2000185824583_Node0_Node8_Zero,2000.185825,2000.227929,0,,0,1.183207095e-12,0
2000191288182_Node0_Node8_Zero,2000.191288,2000.229899,0,,0,1.183207095e-12,0
2000196749243_Node0_Node8_Zero,2000.196749,2000.231909,0,,0,1.183207095e-12,0
2000202209247_Node0_Node8_Zero,2000.202209,2000.234079,0,,0,1.183207095e-12,0
2000207675939_Node0_Node8_Zero,2000.207676,2000.236089,0,,0,1.183207095e-12,0
2000213141392_Node0_Node8_Zero,2000.213141,2000.238019,0,,0,1.183207095e-12,0
2000218604640_Node0_Node8_Zero,2000.218605,2000.240109,0,,0,1.183207095e-12,0
2000224068300_Node0_Node8_Zero,2000.224068,2000.242219,0,,0,1.183207095e-12,0
2000229531050_Node0_Node8_Zero,2000.229531,2000.244269,0,,0,1.183207095e-12,0
2000234990854_Node0_Node8_Zero,2000.234991,2000.246139,0,,0,1.183207095e-12,0
2000240453992_Node0_Node8_Zero,2000.240454,2000.25451,0,,0,1.183207095e-12,0
2000245913931_Node0_Node8_Zero,2000.245914,2000.256516,0,,0,1.183207095e-12,0
2000251373705_Node0_Node8_Zero,2000.251374,2000.270581,0,,0,1.183207095e-12,0
2000256839591_Node0_Node8_Zero,2000.25684,2000.272605,0,,0,1.183207095e-12,0
2000262299680_Node0_Node8_Zero,2000.2623,2000.274615,0,,0,1.183207095e-12,0
2000267763670_Node0_Node8_Zero,2000.267764,2000.276605,0,,0,1.183207095e-12,0
2000273228877_Node0_Node8_Zero,2000.273229,2000.278575,0,,0,1.183207095e-12,0
2000278691577_Node0_Node8_Zero,2000.278692,2000.280757,0,,0,1.183207095e-12,0
2000284155249_Node0_Node8_Zero,2000.284155,2000.292271,0,,0,1.2477143224416938e-12,0
2000289622565_Node0_Node8_Zero,2000.289623,2000.301559,0,,0,1.183207095e-12,1.3146745500000003e-13
2000295084024_Node0_Node8_Zero,2000.295084,2000.303817,0,,0,6.450722744169377e-14,1.4514126174381096e-13
2000300545934_Node0_Node8_Zero,2000.300546,2000.305987,0,,0,1.183207095e-12,0
2000306007396_Node0_Node8_Zero,2000.306007,2000.308033,0,,0,1.183207095e-12,0
2000311476607_Node0_Node8_Zero,2000.311477,2000.315089,0,,0,1.183207095e-12,0
2000316940049_Node0_Node8_Zero,2000.31694,2000.319033,0,,0,1.183207095e-12,0
2000322400233_Node0_Node8_Zero,2000.3224,2000.34105,0,,0,1.183207095e-12,0
2000327867968_Node0_Node8_Zero,2000.327868,2000.346245,0,,0,1.183207095e-12,0
2000333332139_Node0_Node8_Zero,2000.333332,2000.348415,0,,0,1.183207095e-12,0
2000338794430_Node0_Node8_Zero,2000.338794,2000.350445,0,,0,1.183207095e-12,0
2000344259265_Node0_Node8_Zero,2000.344259,2000.352455,0,,0,1.183207095e-12,0
2000349727386_Node0_Node8_Zero,2000.349727,2000.354505,0,,0,1.183207095e-12,0
2000355188687_Node0_Node8_Zero,2000.355189,2000.357214,0,,0,1.183207095e-12,0
2000360650898_Node0_Node8_Zero,2000.360651,2000.37448,0,,0,1.183207095e-12,1.3146745500000003e-13
2000366119215_Node0_Node8_Zero,2000.366119,2000.379059,0,,0,1.183207095e-12,0
2000371586830_Node0_Node8_Zero,2000.371587,2000.381029,0,,0,1.183207095e-12,0
2000377053029_Node0_Node8_Zero,2000.377053,2000.38588,0,,0,1.183207095e-12,0
2000382515488_Node0_Node8_Zero,2000.382515,2000.390002,0,,0,1.183207095e-12,0
2000387976920_Node0_Node8_Zero,2000.387977,2000.392072,0,,0,1.183207095e-12,0
2000393442466_Node0_Node8_Zero,2000.393442,2000.396874,0,,0,1.183207095e-12,0
2000398909866_Node0_Node8_Zero,2000.39891,2000.408402,0,,0,1.241637075e-12,0
2000404377375_Node0_Node8_Zero,2000.404377,2000.412603,0,,0,1.241637075e-12,0
2000409842367_Node0_Node8_Zero,2000.409842,2000.414533,0,,0,1.183207095e-12,0
2000415304103_Node0_Node8_Zero,2000.415304,2000.41931,0,,0,1.183207095e-12,0
2000420764690_Node0_Node8_Zero,2000.420765,2000.430417,0,,0,1.183207095e-12,0
2000426233584_Node0_Node8_Zero,2000.426234,2000.466105,0,,0,1.183207095e-12,0
2000431694782_Node0_Node8_Zero,2000.431695,2000.470951,0,,0,1.183207095e-12,0
2000437162234_Node0_Node8_Zero,2000.437162,2000.4731,0,,0,1.183207095e-12,0
2000442629927_Node0_Node8_Zero,2000.44263,2000.47517,0,,0,1.183207095e-12,0
2000448095662_Node0_Node8_Zero,2000.448096,2000.47712,0,,0,1.183207095e-12,0
2000453564425_Node0_Node8_Zero,2000.453564,2000.47907,0,,0,1.183207095e-12,0
2000459029301_Node0_Node8_Zero,2000.459029,2000.48124,0,,0,1.183207095e-12,0
2000464494252_Node0_Node8_Zero,2000.464494,2000.48313,0,,0,1.183207095e-12,0
2000469959005_Node0_Node8_Zero,2000.469959,2000.48502,0,,0,1.183207095e-12,0
2000475423163_Node0_Node8_Zero,2000.475423,2000.48717,0,,0,1.183207095e-12,0
2000480889873_Node0_Node8_Zero,2000.48089,2000.48932,0,,0,1.183207095e-12,0
2000486356604_Node0_Node8_Zero,2000.486357,2000.49121,0,,0,1.183207095e-12,0
2000491817434_Node0_Node8_Zero,2000.491817,2000.493943,0,,0,1.183207095e-12,0
2000497278742_Node0_Node8_Zero,2000.497279,2000.499714,0,,0,1.183207095e-12,0
2000502747424_Node0_Node8_Zero,2000.502747,2000.50544,0,,0,1.183207095e-12,1.3146745500000003e-13
2000508210148_Node0_Node8_Zero,2000.50821,2000.515557,0,,0,1.183207095e-12,0
2000513675086_Node0_Node8_Zero,2000.513675,2000.520574,0,,0,1.183207095e-12,0
2000519143435_Node0_Node8_Zero,2000.519143,2000.526898,0,,0,5.842998000000001e-14,0
2000524605847_Node0_Node8_Zero,2000.524606,2000.528908,0,,0,1.183207095e-12,0
2000530066349_Node0_Node8_Zero,2000.530066,2000.580694,0,,0,1.183207095e-12,0
2000535534189_Node0_Node8_Zero,2000.535534,2000.586757,0,,0,1.183207095e-12,0
2000540993804_Node0_Node8_Zero,2000.540994,2000.588827,0,,0,1.183207095e-12,0
2000546453862_Node0_Node8_Zero,2000.546454,2000.590877,0,,0,1.183207095e-12,0
2000551915038_Node0_Node8_Zero,2000.551915,2000.592887,0,,0,1.183207095e-12,0
2000557374555_Node0_Node8_Zero,2000.557375,2000.594797,0,,0,1.183207095e-12,0
2000562838185_Node0_Node8_Zero,2000.562838,2000.596827,0,,0,1.183207095e-12,0
2000568306093_Node0_Node8_Zero,2000.568306,2000.598977,0,,0,1.183207095e-12,0
2000573766329_Node0_Node8_Zero,2000.573766,2000.613144,0,,0,1.183207095e-12,0
2000579227505_Node0_Node8_Zero,2000.579228,2000.618971,0,,0,5.842998000000001e-14,0
2000584691502_Node0_Node8_Zero,2000.584692,2000.62084,0,,0,1.183207095e-12,0
2000590153924_Node0_Node8_Zero,2000.590154,2000.632874,0,,0,1.183207095e-12,1.3146745500000003e-13
2000595622118_Node0_Node8_Zero,2000.595622,2000.634817,0,,0,1.183207095e-12,0
2000601085139_Node0_Node8_Zero,2000.601085,2000.64586,0,,0,1.183207095e-12,0
2000606545227_Node0_Node8_Zero,2000.606545,2000.648017,0,,0,1.183207095e-12,0
2000612008933_Node0_Node8_Zero,2000.612009,2000.649947,0,,0,1.183207095e-12,0
2000617469714_Node0_Node8_Zero,2000.61747,2000.652037,0,,0,1.183207095e-12,0
2000622936923_Node0_Node8_Zero,2000.622937,2000.653907,0,,0,1.183207095e-12,0
2000628405202_Node0_Node8_Zero,2000.628405,2000.655917,0,,0,1.183207095e-12,0
2000633866306_Node0_Node8_Zero,2000.633866,2000.657807,0,,0,1.183207095e-12,0
2000639334917_Node0_Node8_Zero,2000.639335,2000.659717,0,,0,1.183207095e-12,0
2000644799450_Node0_Node8_Zero,2000.644799,2000.661787,0,,0,1.183207095e-12,0
2000650266834_Node0_Node8_Zero,2000.650267,2000.663757,0,,0,1.183207095e-12,0
2000655727353_Node0_Node8_Zero,2000.655727,2000.665787,0,,0,1.183207095e-12,0
2000661192613_Node0_Node8_Zero,2000.661193,2000.667717,0,,0,1.183207095e-12,0
2000666657740_Node0_Node8_Zero,2000.666658,2000.675797,0,,0,1.183207095e-12,0
2000672124815_Node0_Node8_Zero,2000.672125,2000.67774,0,,0,1.183207095e-12,0
2000677593078_Node0_Node8_Zero,2000.677593,2000.686371,0,,0,1.183207095e-12,0
2000683059587_Node0_Node8_Zero,2000.68306,2000.693157,0,,0,1.183207095e-12,0
2000688524887_Node0_Node8_Zero,2000.688525,2000.698545,0,,0,1.183207095e-12,0
2000693991850_Node0_Node8_Zero,2000.693992,2000.700527,0,,0,1.183207095e-12,0
2000699460855_Node0_Node8_Zero,2000.699461,2000.706949,0,,0,1.183207095e-12,0
2000704923814_Node0_Node8_Zero,2000.704924,2000.726095,0,,0,5.842998000000001e-14,0
2000710386409_Node0_Node8_Zero,2000.710386,2000.736919,0,,0,1.183207095e-12,1.3146745500000003e-13
2000715850723_Node0_Node8_Zero,2000.715851,2000.738918,0,,0,1.183207095e-12,0
2000721314867_Node0_Node8_Zero,2000.721315,2000.742842,0,,0,1.183207095e-12,0
2000726782273_Node0_Node8_Zero,2000.726782,2000.744818,0,,0,1.183207095e-12,0
2000732251290_Node0_Node8_Zero,2000.732251,2000.746968,0,,0,1.183207095e-12,0
2000737716265_Node0_Node8_Zero,2000.737716,2000.749058,0,,0,1.183207095e-12,0
2000743178697_Node0_Node8_Zero,2000.743179,2000.750988,0,,0,1.183207095e-12,0
2000748638555_Node0_Node8_Zero,2000.748639,2000.753138,0,,0,1.183207095e-12,0
2000754100154_Node0_Node8_Zero,2000.7541,2000.756166,0,,0,1.183207095e-12,0
2000759560597_Node0_Node8_Zero,2000.759561,2000.766339,0,,0,1.183207095e-12,0
2000765022676_Node0_Node8_Zero,2000.765023,2000.777805,0,,0,1.183207095e-12,0
2000770485692_Node0_Node8_Zero,2000.770486,2000.779761,0,,0,1.183207095e-12,0
2000775953297_Node0_Node8_Zero,2000.775953,2000.781811,0,,0,1.183207095e-12,0
2000781413435_Node0_Node8_Zero,2000.781413,2000.789819,0,,0,1.183207095e-12,0
2000786879271_Node0_Node8_Zero,2000.786879,2000.791795,0,,0,1.183207095e-12,0
2000792346808_Node0_Node8_Zero,2000.792347,2000.796389,0,,0,1.183207095e-12,0
2000797811330_Node0_Node8_Zero,2000.797811,2000.804618,0,,0,1.183207095e-12,0
2000803277905_Node0_Node8_Zero,2000.803278,2000.817323,0,,0,1.183207095e-12,0
2000808745142_Node0_Node8_Zero,2000.808745,2000.819241,0,,0,1.183207095e-12,0
2000814211517_Node0_Node8_Zero,2000.814212,2000.821211,0,,0,1.183207095e-12,0
2000819671796_Node0_Node8_Zero,2000.819672,2000.830918,0,,0,1.183207095e-12,0
2000825135242_Node0_Node8_Zero,2000.825135,2000.838327,0,,0,1.183207095e-12,0
2000830599347_Node0_Node8_Zero,2000.830599,2000.842622,0,,0,1.183207095e-12,0
2000836065469_Node0_Node8_Zero,2000.836065,2000.844531,0,,0,1.183207095e-12,0
2000841529066_Node0_Node8_Zero,2000.841529,2000.846501,0,,0,1.183207095e-12,0
2000846991653_Node0_Node8_Zero,2000.846992,2000.848897,0,,0,1.183207095e-12,0
2000852454391_Node0_Node8_Zero,2000.852454,2000.859066,0,,0,1.2571575384375e-12,0
2000857918383_Node0_Node8_Zero,2000.857918,2000.874076,0,,0,5.842998000000001e-14,0
2000863379664_Node0_Node8_Zero,2000.86338,2000.876155,0,,0,1.183207095e-12,0
2000868843734_Node0_Node8_Zero,2000.868844,2000.878025,0,,0,1.183207095e-12,0
2000874307053_Node0_Node8_Zero,2000.874307,2000.879935,0,,0,1.183207095e-12,0
2000879772571_Node0_Node8_Zero,2000.879773,2000.887848,0,,0,1.183207095e-12,0
2000885242013_Node0_Node8_Zero,2000.885242,2000.889718,0,,0,1.183207095e-12,0
2000890707888_Node0_Node8_Zero,2000.890708,2000.910592,0,,0,5.842998000000001e-14,1.3146745500000003e-13
2000896174267_Node0_Node8_Zero,2000.896174,2000.915533,0,,0,1.183207095e-12,0
2000901640755_Node0_Node8_Zero,2000.901641,2000.925228,0,,0,1.183207095e-12,0
2000907109762_Node0_Node8_Zero,2000.90711,2000.927099,0,,0,1.183207095e-12,0
2000912578899_Node0_Node8_Zero,2000.912579,2000.93147,0,,0,1.183207095e-12,0
2000918040021_Node0_Node8_Zero,2000.91804,2000.933379,0,,0,1.183207095e-12,0
2000923502562_Node0_Node8_Zero,2000.923503,2000.935429,0,,0,1.183207095e-12,0
2000928968591_Node0_Node8_Zero,2000.928969,2000.942309,0,,0,1.183207095e-12,0
2000934431315_Node0_Node8_Zero,2000.934431,2000.944329,0,,0,1.183207095e-12,0
2000939899745_Node0_Node8_Zero,2000.9399,2000.96415,0,,0,5.842998000000001e-14,1.3146745500000003e-13
2000945364219_Node0_Node8_Zero,2000.945364,2000.969164,0,,0,1.183207095e-12,0
2000950831275_Node0_Node8_Zero,2000.950831,2000.971234,0,,0,1.183207095e-12,0
2000956294423_Node0_Node8_Zero,2000.956294,2000.973224,0,,0,1.183207095e-12,0
2000961758072_Node0_Node8_Zero,2000.961758,2000.975094,0,,0,1.183207095e-12,0
2000967218913_Node0_Node8_Zero,2000.967219,2000.977164,0,,0,1.183207095e-12,0
2000972679248_Node0_Node8_Zero,2000.972679,2000.979054,0,,0,1.183207095e-12,0
2000978139685_Node0_Node8_Zero,2000.97814,2000.987802,0,,0,1.2477143224416938e-12,0
2000983604902_Node0_Node8_Zero,2000.983605,2000.99283,0,,0,1.183207095e-12,0
2000989069910_Node0_Node8_Zero,2000.98907,2000.999706,0,,0,1.183207095e-12,0
2000994533112_Node0_Node8_Zero,2000.994533,2001.001682,0,,0,1.183207095e-12,0
