Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000008195690_Node0_Node8_Zero,2000.008196,2000.031006,1,RetryLimit,0,0,nan
2000016397037_Node0_Node8_Zero,2000.016397,2000.03475,0,,0,7.572525408e-13,0
2000024593440_Node0_Node8_Zero,2000.024593,2000.03475,0,,0,7.572525408e-13,0
2000032793116_Node0_Node8_Zero,2000.032793,2000.039803,0,,0,7.572525408e-13,0
2000040987875_Node0_Node8_Zero,2000.040988,2000.043689,0,,0,7.572525408e-13,0
2000049179987_Node0_Node8_Zero,2000.04918,2000.050217,0,,0,7.572525408e-13,0
2000057379121_Node0_Node8_Zero,2000.057379,2000.058596,0,,0,7.572525408e-13,0
2000065571238_Node0_Node8_Zero,2000.065571,2000.066868,0,,0,7.572525408e-13,0
2000073764621_Node0_Node8_Zero,2000.073765,2000.074821,0,,0,7.572525408e-13,0
2000081959739_Node0_Node8_Zero,2000.08196,2000.083037,0,,0,7.572525408e-13,0
2000090155640_Node0_Node8_Zero,2000.090156,2000.091293,0,,0,7.572525408e-13,0
2000098353926_Node0_Node8_Zero,2000.098354,2000.099391,0,,0,7.572525408e-13,0
2000106547018_Node0_Node8_Zero,2000.106547,2000.110356,0,,123,7.572525408e-13,0
2000114743690_Node0_Node8_Zero,2000.114744,2000.129318,0,,0,7.572525408e-13,0
2000122936955_Node0_Node8_Zero,2000.122937,2000.133232,0,,0,7.572525408e-13,0
2000131134982_Node0_Node8_Zero,2000.131135,2000.133232,0,,0,7.572525408e-13,0
2000139332044_Node0_Node8_Zero,2000.139332,2000.140549,0,,0,7.572525408e-13,0
2000147527939_Node0_Node8_Zero,2000.147528,2000.149448,0,,0,7.572525408e-13,0
2000155722488_Node0_Node8_Zero,2000.155722,2000.157932,0,,0,8.41391712e-13,1.893131352e-13
2000163916840_Node0_Node8_Zero,2000.163917,2000.167045,0,,0,8.41391712e-13,0
2000172109099_Node0_Node8_Zero,2000.172109,2000.173126,0,,0,7.572525408e-13,0
2000180308031_Node0_Node8_Zero,2000.180308,2000.181465,0,,0,7.572525408e-13,0
2000188499913_Node0_Node8_Zero,2000.1885,2000.189697,0,,0,7.572525408e-13,0
2000196698601_Node0_Node8_Zero,2000.196699,2000.197755,0,,0,7.572525408e-13,0
2000204893560_Node0_Node8_Zero,2000.204894,2000.20621,0,,0,7.572525408e-13,0
2000213085568_Node0_Node8_Zero,2000.213086,2000.214122,0,,0,8.41391712e-13,0
2000221280368_Node0_Node8_Zero,2000.22128,2000.222417,0,,0,7.572525408e-13,0
2000229476713_Node0_Node8_Zero,2000.229477,2000.230494,0,,0,7.572525408e-13,0
2000237677177_Node0_Node8_Zero,2000.237677,2000.238834,0,,0,7.572525408e-13,0
2000245873768_Node0_Node8_Zero,2000.245874,2000.246991,0,,0,7.572525408e-13,0
2000254066193_Node0_Node8_Zero,2000.254066,2000.288633,0,,0,7.572525408e-13,0
2000262262026_Node0_Node8_Zero,2000.262262,2000.297205,0,,0,7.572525408e-13,0
2000270457781_Node0_Node8_Zero,2000.270458,2000.297205,0,,0,7.572525408e-13,0
2000278653990_Node0_Node8_Zero,2000.278654,2000.299115,0,,0,7.572525408e-13,0
2000286852922_Node0_Node8_Zero,2000.286853,2000.299115,0,,0,7.572525408e-13,0
2000295048170_Node0_Node8_Zero,2000.295048,2000.300325,0,,0,7.572525408e-13,0
2000303245877_Node0_Node8_Zero,2000.303246,2000.316968,0,,136,7.572525408e-13,0
2000311445987_Node0_Node8_Zero,2000.311446,2000.325059,0,,47,7.572525408e-13,0
2000319643173_Node0_Node8_Zero,2000.319643,2000.3216,0,,0,7.572525408e-13,0
2000327841789_Node0_Node8_Zero,2000.327842,2000.329099,0,,0,7.572525408e-13,0
2000336040394_Node0_Node8_Zero,2000.33604,2000.337057,0,,0,7.572525408e-13,0
2000344235016_Node0_Node8_Zero,2000.344235,2000.345252,0,,0,7.572525408e-13,0
2000352434667_Node0_Node8_Zero,2000.352435,2000.353512,0,,0,7.572525408e-13,0
2000360628041_Node0_Node8_Zero,2000.360628,2000.361785,0,,0,7.572525408e-13,0
2000368829117_Node0_Node8_Zero,2000.368829,2000.369986,0,,0,7.572525408e-13,0
2000377029791_Node0_Node8_Zero,2000.37703,2000.378067,0,,0,7.572525408e-13,0
2000385227003_Node0_Node8_Zero,2000.385227,2000.386464,0,,0,7.572525408e-13,0
2000393423754_Node0_Node8_Zero,2000.393424,2000.394541,0,,0,7.572525408e-13,0
2000401624572_Node0_Node8_Zero,2000.401625,2000.402781,0,,0,7.572525408e-13,0
2000409818100_Node0_Node8_Zero,2000.409818,2000.411095,0,,0,7.572525408e-13,0
2000418016665_Node0_Node8_Zero,2000.418017,2000.419114,0,,0,7.572525408e-13,0
2000426211393_Node0_Node8_Zero,2000.426211,2000.427388,0,,0,7.572525408e-13,0
2000434409817_Node0_Node8_Zero,2000.43441,2000.435527,0,,0,7.572525408e-13,0
2000442611152_Node0_Node8_Zero,2000.442611,2000.443768,0,,0,7.572525408e-13,0
2000450803555_Node0_Node8_Zero,2000.450804,2000.45186,0,,0,7.572525408e-13,0
2000458998537_Node0_Node8_Zero,2000.458999,2000.460115,0,,0,7.572525408e-13,0
2000467195419_Node0_Node8_Zero,2000.467195,2000.468212,0,,0,7.572525408e-13,0
2000475391831_Node0_Node8_Zero,2000.475392,2000.476689,0,,0,7.572525408e-13,0
2000483587132_Node0_Node8_Zero,2000.483587,2000.484884,0,,0,7.572525408e-13,0
2000491787253_Node0_Node8_Zero,2000.491787,2000.492904,0,,0,7.572525408e-13,0
2000499979747_Node0_Node8_Zero,2000.49998,2000.500997,0,,0,7.572525408e-13,0
2000508178302_Node0_Node8_Zero,2000.508178,2000.509335,0,,0,7.572525408e-13,0
2000516376534_Node0_Node8_Zero,2000.516377,2000.517593,0,,0,7.572525408e-13,0
2000524575712_Node0_Node8_Zero,2000.524576,2000.525893,0,,0,7.572525408e-13,0
2000532770604_Node0_Node8_Zero,2000.532771,2000.533987,0,,0,7.572525408e-13,0
2000540964668_Node0_Node8_Zero,2000.540965,2000.542142,0,,0,7.572525408e-13,0
2000549161812_Node0_Node8_Zero,2000.549162,2000.550299,0,,0,7.572525408e-13,0
2000557360667_Node0_Node8_Zero,2000.557361,2000.558538,0,,0,7.572525408e-13,0
2000565553403_Node0_Node8_Zero,2000.565553,2000.56669,0,,0,7.572525408e-13,0
2000573746757_Node0_Node8_Zero,2000.573747,2000.574884,0,,0,7.572525408e-13,0
2000581941824_Node0_Node8_Zero,2000.581942,2000.583259,0,,0,7.572525408e-13,0
2000590138612_Node0_Node8_Zero,2000.590139,2000.591335,0,,0,7.572525408e-13,0
2000598330897_Node0_Node8_Zero,2000.598331,2000.599648,0,,0,7.572525408e-13,0
2000606524709_Node0_Node8_Zero,2000.606525,2000.607602,0,,0,7.572525408e-13,0
2000614716920_Node0_Node8_Zero,2000.614717,2000.615774,0,,0,7.572525408e-13,0
2000622908987_Node0_Node8_Zero,2000.622909,2000.624226,0,,0,7.572525408e-13,0
2000631101392_Node0_Node8_Zero,2000.631101,2000.632418,0,,0,7.572525408e-13,0
2000639297653_Node0_Node8_Zero,2000.639298,2000.640475,0,,0,7.572525408e-13,0
2000647490532_Node0_Node8_Zero,2000.647491,2000.648727,0,,0,7.572525408e-13,0
2000655682454_Node0_Node8_Zero,2000.655682,2000.656779,0,,0,7.572525408e-13,0
2000663875983_Node0_Node8_Zero,2000.663876,2000.665133,0,,0,7.572525408e-13,0
2000672076711_Node0_Node8_Zero,2000.672077,2000.673294,0,,0,7.572525408e-13,0
2000680275626_Node0_Node8_Zero,2000.680276,2000.681472,0,,0,7.572525408e-13,0
2000688468628_Node0_Node8_Zero,2000.688469,2000.689646,0,,0,7.572525408e-13,0
2000696669361_Node0_Node8_Zero,2000.696669,2000.697686,0,,0,7.572525408e-13,0
2000704862673_Node0_Node8_Zero,2000.704863,2000.7059,0,,0,7.572525408e-13,0
2000713055289_Node0_Node8_Zero,2000.713055,2000.714152,0,,0,7.572525408e-13,0
2000721256742_Node0_Node8_Zero,2000.721257,2000.722334,0,,0,7.572525408e-13,0
2000729453234_Node0_Node8_Zero,2000.729453,2000.73061,0,,0,7.572525408e-13,0
2000737650138_Node0_Node8_Zero,2000.73765,2000.738887,0,,0,7.572525408e-13,0
2000745845273_Node0_Node8_Zero,2000.745845,2000.747142,0,,0,7.572525408e-13,0
2000754046921_Node0_Node8_Zero,2000.754047,2000.755304,0,,0,7.572525408e-13,0
2000762245804_Node0_Node8_Zero,2000.762246,2000.763363,0,,0,7.572525408e-13,0
2000770438849_Node0_Node8_Zero,2000.770439,2000.771556,0,,0,7.572525408e-13,0
2000778636011_Node0_Node8_Zero,2000.778636,2000.779813,0,,0,7.572525408e-13,0
2000786835246_Node0_Node8_Zero,2000.786835,2000.787912,0,,0,7.572525408e-13,0
2000795028282_Node0_Node8_Zero,2000.795028,2000.796145,0,,0,7.572525408e-13,0
2000803222213_Node0_Node8_Zero,2000.803222,2000.804319,0,,0,7.572525408e-13,0
2000811419778_Node0_Node8_Zero,2000.81142,2000.812557,0,,0,7.572525408e-13,0
2000819619818_Node0_Node8_Zero,2000.81962,2000.820737,0,,0,7.572525408e-13,0
2000827813051_Node0_Node8_Zero,2000.827813,2000.82889,0,,0,7.572525408e-13,0
2000836009673_Node0_Node8_Zero,2000.83601,2000.837127,0,,0,7.572525408e-13,0
2000844209654_Node0_Node8_Zero,2000.84421,2000.845427,0,,0,7.572525408e-13,0
2000852401810_Node0_Node8_Zero,2000.852402,2000.853539,0,,0,7.572525408e-13,0
2000860596106_Node0_Node8_Zero,2000.860596,2000.861613,0,,0,7.572525408e-13,0
2000868791005_Node0_Node8_Zero,2000.868791,2000.869828,0,,0,7.572525408e-13,0
2000876987330_Node0_Node8_Zero,2000.876987,2000.878284,0,,0,7.572525408e-13,0
2000885187980_Node0_Node8_Zero,2000.885188,2000.886425,0,,0,7.572525408e-13,0
2000893382329_Node0_Node8_Zero,2000.893382,2000.894679,0,,0,7.572525408e-13,0
2000901580693_Node0_Node8_Zero,2000.901581,2000.902778,0,,0,7.572525408e-13,0
2000909780127_Node0_Node8_Zero,2000.90978,2000.911057,0,,0,7.572525408e-13,0
2000917972330_Node0_Node8_Zero,2000.917972,2000.919289,0,,0,7.572525408e-13,0
2000926173546_Node0_Node8_Zero,2000.926174,2000.92739,0,,0,7.572525408e-13,0
2000934372037_Node0_Node8_Zero,2000.934372,2000.935489,0,,0,7.572525408e-13,0
2000942568026_Node0_Node8_Zero,2000.942568,2000.943885,0,,0,7.572525408e-13,0
2000950766610_Node0_Node8_Zero,2000.950767,2000.952023,0,,0,7.572525408e-13,0
2000958962536_Node0_Node8_Zero,2000.958963,2000.960239,0,,0,7.572525408e-13,0
2000967163827_Node0_Node8_Zero,2000.967164,2000.968181,0,,0,7.572525408e-13,0
2000975363969_Node0_Node8_Zero,2000.975364,2000.976641,0,,0,7.572525408e-13,0
2000983562422_Node0_Node8_Zero,2000.983562,2000.984639,0,,0,7.572525408e-13,0
2000991754353_Node0_Node8_Zero,2000.991754,2000.993071,0,,0,7.572525408e-13,0
2000999953280_Node0_Node8_Zero,2000.999953,2001.00119,0,,0,7.572525408e-13,0
2001008146547_Node0_Node8_Zero,2001.008147,2001.009243,0,,0,7.572525408e-13,0
2001016340603_Node0_Node8_Zero,2001.016341,2001.017377,0,,0,7.572525408e-13,0
2001024533015_Node0_Node8_Zero,2001.024533,2001.02579,0,,0,7.572525408e-13,0
2001032734620_Node0_Node8_Zero,2001.032735,2001.033931,0,,0,7.572525408e-13,0
2001040927495_Node0_Node8_Zero,2001.040927,2001.042024,0,,0,7.572525408e-13,0
2001049120758_Node0_Node8_Zero,2001.049121,2001.050278,0,,0,7.572525408e-13,0
2001057312798_Node0_Node8_Zero,2001.057313,2001.05833,0,,0,7.572525408e-13,0
2001065509251_Node0_Node8_Zero,2001.065509,2001.066646,0,,0,7.572525408e-13,0
2001073702635_Node0_Node8_Zero,2001.073703,2001.07474,0,,0,7.572525408e-13,0
2001081894372_Node0_Node8_Zero,2001.081894,2001.083111,0,,0,7.572525408e-13,0
2001090089008_Node0_Node8_Zero,2001.090089,2001.091246,0,,0,7.572525408e-13,0
2001098281786_Node0_Node8_Zero,2001.098282,2001.099319,0,,0,7.572525408e-13,0
2001106480672_Node0_Node8_Zero,2001.106481,2001.107538,0,,0,7.572525408e-13,0
2001114676718_Node0_Node8_Zero,2001.114677,2001.115834,0,,0,7.572525408e-13,0
2001122872134_Node0_Node8_Zero,2001.122872,2001.124109,0,,0,7.572525408e-13,0
2001131070911_Node0_Node8_Zero,2001.131071,2001.132348,0,,0,7.572525408e-13,0
2001139271596_Node0_Node8_Zero,2001.139272,2001.140508,0,,0,7.572525408e-13,0
2001147465507_Node0_Node8_Zero,2001.147466,2001.148702,0,,0,7.572525408e-13,0
2001155660959_Node0_Node8_Zero,2001.155661,2001.156858,0,,0,7.572525408e-13,0
2001163853859_Node0_Node8_Zero,2001.163854,2001.165071,0,,0,7.572525408e-13,0
2001172047459_Node0_Node8_Zero,2001.172047,2001.173124,0,,0,7.572525408e-13,0
2001180243666_Node0_Node8_Zero,2001.180244,2001.181401,0,,0,7.572525408e-13,0
2001188438041_Node0_Node8_Zero,2001.188438,2001.189555,0,,0,7.572525408e-13,0
2001196630090_Node0_Node8_Zero,2001.19663,2001.197927,0,,0,7.572525408e-13,0
2001204827118_Node0_Node8_Zero,2001.204827,2001.205904,0,,0,7.572525408e-13,0
2001213020142_Node0_Node8_Zero,2001.21302,2001.214277,0,,0,7.572525408e-13,0
2001221220688_Node0_Node8_Zero,2001.221221,2001.222298,0,,0,7.572525408e-13,0
2001229418005_Node0_Node8_Zero,2001.229418,2001.230575,0,,0,7.572525408e-13,0
2001237617814_Node0_Node8_Zero,2001.237618,2001.238855,0,,0,7.572525408e-13,0
2001245816935_Node0_Node8_Zero,2001.245817,2001.246954,0,,0,7.572525408e-13,0
2001254009243_Node0_Node8_Zero,2001.254009,2001.255126,0,,0,7.572525408e-13,0
2001262201100_Node0_Node8_Zero,2001.262201,2001.263498,0,,0,7.572525408e-13,0
2001270393600_Node0_Node8_Zero,2001.270394,2001.27143,0,,0,7.572525408e-13,0
2001278593625_Node0_Node8_Zero,2001.278594,2001.27973,0,,0,7.572525408e-13,0
2001286788763_Node0_Node8_Zero,2001.286789,2001.287826,0,,0,7.572525408e-13,0
2001294984248_Node0_Node8_Zero,2001.294984,2001.296221,0,,0,7.572525408e-13,0
2001303180641_Node0_Node8_Zero,2001.303181,2001.304338,0,,0,7.572525408e-13,0
2001311374623_Node0_Node8_Zero,2001.311375,2001.312691,0,,0,7.572525408e-13,0
2001319574730_Node0_Node8_Zero,2001.319575,2001.320652,0,,0,7.572525408e-13,0
2001327773237_Node0_Node8_Zero,2001.327773,2001.32891,0,,0,7.572525408e-13,0
2001335972913_Node0_Node8_Zero,2001.335973,2001.33699,0,,0,7.572525408e-13,0
2001344167241_Node0_Node8_Zero,2001.344167,2001.345224,0,,0,7.572525408e-13,0
2001352361156_Node0_Node8_Zero,2001.352361,2001.353618,0,,0,7.572525408e-13,0
2001360561662_Node0_Node8_Zero,2001.360562,2001.361819,0,,0,7.572525408e-13,0
2001368753559_Node0_Node8_Zero,2001.368754,2001.36999,0,,0,7.572525408e-13,0
2001376946746_Node0_Node8_Zero,2001.376947,2001.378224,0,,0,7.572525408e-13,0
2001385143749_Node0_Node8_Zero,2001.385144,2001.386401,0,,0,7.572525408e-13,0
2001393336310_Node0_Node8_Zero,2001.393336,2001.394573,0,,0,7.572525408e-13,0
2001401528095_Node0_Node8_Zero,2001.401528,2001.402645,0,,0,7.572525408e-13,0
2001409724897_Node0_Node8_Zero,2001.409725,2001.410762,0,,0,7.572525408e-13,0
2001417922517_Node0_Node8_Zero,2001.417923,2001.419039,0,,0,7.572525408e-13,0
2001426119188_Node0_Node8_Zero,2001.426119,2001.427156,0,,0,7.572525408e-13,0
2001434316091_Node0_Node8_Zero,2001.434316,2001.435433,0,,0,7.572525408e-13,0
2001442511132_Node0_Node8_Zero,2001.442511,2001.443628,0,,0,7.572525408e-13,0
2001450707914_Node0_Node8_Zero,2001.450708,2001.451845,0,,0,7.572525408e-13,0
2001458908208_Node0_Node8_Zero,2001.458908,2001.460165,0,,0,7.572525408e-13,0
2001467108407_Node0_Node8_Zero,2001.467108,2001.468425,0,,0,7.572525408e-13,0
2001475302004_Node0_Node8_Zero,2001.475302,2001.476559,0,,0,7.572525408e-13,0
2001483502382_Node0_Node8_Zero,2001.483502,2001.484799,0,,0,7.572525408e-13,0
2001491695755_Node0_Node8_Zero,2001.491696,2001.492893,0,,0,7.572525408e-13,0
2001499896714_Node0_Node8_Zero,2001.499897,2001.501194,0,,0,7.572525408e-13,0
2001508091422_Node0_Node8_Zero,2001.508091,2001.509308,0,,0,7.572525408e-13,0
2001516290176_Node0_Node8_Zero,2001.51629,2001.517407,0,,0,7.572525408e-13,0
