Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000005463450_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.005463,2000.005533,inf,0,7,2343.0,0.007663753805745297,0.007663753805745297,2.396369,inf,22,22
2000010932556_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.010933,2000.049376,inf,1,7,2327.5,"0.010618917711206962,0.007663753805745297",0.009141,2.396369,inf,22,22
2000016399784_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.0164,2000.049376,inf,1,7,2327.5,"0.010618917711206962,0.007663753805745297",0.009141,2.396369,inf,22,22
2000021863946_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.021864,2000.051306,inf,2,7,2327.5,"0.010618917711206962,0.010618917711206962,0.007663753805745297",0.009634,2.396369,inf,22,22
2000027331382_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.027331,2000.051306,inf,2,7,2327.5,"0.010618917711206962,0.010618917711206962,0.007663753805745297",0.009634,2.396369,inf,22,22
2000032793623_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.032794,2000.053376,inf,3,7,2327.5,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.007663753805745297",0.00988,2.396369,inf,22,22
2000038260544_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.038261,2000.053376,inf,3,7,2327.5,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.007663753805745297",0.00988,2.396369,inf,22,22
2000043721215_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.043721,2000.059269,0.247803,4,0,2327.5,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000049185925_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.049186,2000.059269,0.242338,4,0,2327.5,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000054652577_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.054653,2000.061279,0.239041,4,0,2327.5,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000060121064_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.060121,2000.061279,0.233573,4,0,2327.5,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000065581368_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.065581,2000.065831,0.230003,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.012822618564460542",0.01117,3.320415,4.009487,22,22
2000071041245_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.071041,2000.071371,0.224543,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.012822618564460542",0.01117,3.320415,4.009487,22,22
2000076502387_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.076502,2000.076832,0.224102,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.012822618564460542",0.01117,3.320415,4.009487,22,22
2000081968628_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.081969,2000.082039,0.218635,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.012822618564460542",0.01117,3.320415,4.009487,22,22
2000087430346_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.08743,2000.08764,0.215144,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000092891587_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.092892,2000.092962,0.209682,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000098356847_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.098357,2000.098547,0.206107,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000103821958_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.103822,2000.103912,0.200642,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000109289217_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.109289,2000.110044,0.197065,4,0,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000114752206_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.114752,2000.115172,0.191602,4,6,2343.0,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.010618917711206962",0.010619,3.320415,3.320415,22,22
2000120217564_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.120218,2000.153115,0.188086,4,0,2327.5,"0.010618917711206962,0.010618917711206962,0.010618917711206962,0.012822618564460542",0.01117,3.320415,4.009487,22,22
