Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,12,63,0,0,0,0,75,90,0,0,1798,1829,0,0,12,0,0
Node1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node2,12,9,60,73,1798,1833,21,35,1798,1829,1786,1827,0,0,12,0,0
Node3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node4,2,7,8,16,1786,1827,9,18,1786,1827,1782,1825,0,0,12,0,0
Node5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node6,0,9,10,18,1782,1825,9,17,1782,1825,1780,1823,0,0,12,0,0
Node7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node8,0,0,8,16,1782,1826,0,0,1782,1826,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
