Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.2-2001.2,61,30,0.4918032786885246,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2001.2-2002.2,61,64,1.0491803278688525,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2002.2-2003.2,61,51,0.8360655737704918,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2003.2-2004.2,61,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2004.2-2005.2,61,119,1.9508196721311475,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2005.2-2006.2,61,20,0.32786885245901637,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2006.2-2007.2,61,26,0.4262295081967213,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2007.2-2008.2,61,77,1.2622950819672132,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2008.2-2009.2,61,68,1.1147540983606556,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2009.2-2010.2,48,21,0.4375,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2010.2-2011.2,0,48,48.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
2011.2-2012.2,0,1,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase1_daisy_500m_mcs_adaptive_1Mbps_0.9increment_threshold/Flow_Node0-Node8.csv
