Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000005463450_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.005463,2000.005533,inf,0,7,2343.0,0.007663753805745297,0.007663753805745297,2.396369,inf,33,33
2000010932556_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.010933,2000.027478,inf,1,7,3483.5,"0.02667338616052565,0.007663753805745297",0.017169,2.396369,inf,33,33
2000016395391_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.016395,2000.027478,inf,1,7,3483.5,"0.02667338616052565,0.007663753805745297",0.017169,2.396369,inf,33,33
2000021860571_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.021861,2000.027478,inf,1,7,3483.5,"0.02667338616052565,0.007663753805745297",0.017169,2.396369,inf,33,33
2000027327671_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.027328,2000.033306,inf,2,7,2343.0,"0.02667338616052565,0.02667338616052565,0.007663753805745297",0.020337,2.396369,inf,33,33
2000032790189_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.03279,2000.034216,inf,2,7,2343.0,"0.02667338616052565,0.02667338616052565,0.007663753805745297",0.020337,2.396369,inf,33,33
2000038255339_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.038255,2000.038545,inf,2,7,2343.0,"0.02667338616052565,0.02667338616052565,0.007663753805745297",0.020337,2.396369,inf,33,33
2000043720606_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.043721,2000.044011,inf,3,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.021921,2.396369,inf,33,33
2000049184669_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.049185,2000.049515,inf,3,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.021921,2.396369,inf,33,33
2000054648621_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.054649,2000.054819,inf,3,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.021921,2.396369,inf,33,33
2000060114925_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.060115,2000.060365,0.207164,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000065576062_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.065576,2000.065846,0.201703,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000071035968_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.071036,2000.072226,0.196243,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000076497018_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.076497,2000.080994,0.192872,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000081962785_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.081963,2000.084621,0.187406,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000087428530_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.087429,2000.088803,0.18194,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000092895539_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.092896,2000.094359,0.18083,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000098360103_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.09836,2000.099515,0.175366,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000103822903_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.103823,2000.104073,0.169903,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000109286556_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.109287,2000.109437,0.167219,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000114750685_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.114751,2000.114981,0.161755,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000120215287_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.120215,2000.120265,0.156291,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000125679131_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.125679,2000.125989,0.152737,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03377552731446292",0.028449,8.340465,10.561224,33,33
2000131140782_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.131141,2000.131311,0.147275,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03377552731446292",0.028449,8.340465,10.561224,33,33
2000136601683_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.136602,2000.136872,0.141814,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03377552731446292",0.028449,8.340465,10.561224,33,33
2000142068212_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.142068,2000.142358,0.138218,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000147533025_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.147533,2000.147623,0.132753,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000152994551_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.152995,2000.153165,0.127291,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000158458969_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.158459,2000.158651,0.126173,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000163919374_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.163919,2000.164229,0.120713,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000169388853_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.169389,2000.169805,0.115243,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000174851816_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.174852,2000.181102,0.11169,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000180317902_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.180318,2000.182604,0.106224,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000185785805_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.185786,2000.186036,0.100756,4,3,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000191253972_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.191254,2000.19707,0.097178,4,2,2327.5,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000196720091_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.19672,2000.19707,0.091712,4,2,2327.5,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000202185885_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.202186,2000.202834,0.086246,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000207648705_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.207649,2000.207739,0.08499,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000213110343_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.21311,2000.21322,0.079529,4,0,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
2000218574767_Node0_Node8_Zero,"[0, 2, 4, 6, 8]",2000.218575,2000.218625,0.074064,4,1,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.026673,8.340465,8.340465,33,33
