Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,1105,133,0,0,0,0,1238,1238,0,0,1799,1799,0,0,155,0,0
Node1,946,76,125,125,1799,1799,1022,1022,1799,1799,1788,1788,0,0,55,0,0
Node2,550,21,63,63,1788,1788,571,571,1788,1788,1713,1713,365,0,10,0,0
Node3,434,9,4,4,1715,1715,443,443,1715,1715,1393,1393,1595,0,5,0,0
Node4,354,3,0,0,1395,1395,357,357,1395,1395,983,983,2040,0,10,0,0
Node5,687,10,2,2,983,983,697,697,983,983,761,761,1110,0,0,0,0
Node6,7,5,2,2,763,763,12,12,763,763,680,680,405,0,0,0,0
Node7,4,0,0,0,681,681,4,4,681,681,642,642,190,0,0,0,0
Node8,0,0,0,0,642,642,0,0,642,642,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
