Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.4-2001.4,61,68,1.1147540983606556,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2001.4-2002.4,61,61,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2002.4-2003.4,61,61,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2003.4-2004.4,61,61,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2004.4-2005.4,61,61,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2005.4-2006.4,61,61,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2006.4-2007.4,61,61,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2007.4-2008.4,61,61,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2008.4-2009.4,61,61,1.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
2009.4-2010.4,38,39,1.0263157894736843,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_1000m_mcs1_1Mbps/Flow_Node0-Node8.csv
