Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000032790607_Node0_Node8_Zero,2000.085076,2000.136166,1,RetryLimit,320,0,nan
2000040984976_Node0_Node8_Zero,2000.085076,2000.136166,1,RetryLimit,320,0,nan
2000049177878_Node0_Node8_Zero,2000.085076,2000.136166,1,RetryLimit,320,0,nan
2000057373905_Node0_Node8_Zero,2000.089025,2000.143026,0,,232,7.572525408e-13,0
2000065573076_Node0_Node8_Zero,2000.089025,2000.143026,0,,232,7.572525408e-13,0
2000073766496_Node0_Node8_Zero,2000.089025,2000.143026,0,,232,7.572525408e-13,0
2000081964533_Node0_Node8_Zero,2000.089835,2000.145056,0,,199,7.572525408e-13,0
2000090158351_Node0_Node8_Zero,2000.093661,2000.145056,0,,166,7.572525408e-13,0
2000098355859_Node0_Node8_Zero,2000.100737,2000.145056,0,,133,7.572525408e-13,0
2000106555149_Node0_Node8_Zero,2000.108333,2000.146926,0,,100,7.572525408e-13,0
2000114753997_Node0_Node8_Zero,2000.116485,2000.146926,0,,67,7.572525408e-13,0
2000122950683_Node0_Node8_Zero,2000.125004,2000.146926,0,,34,7.572525408e-13,0
2000131150733_Node0_Node8_Zero,2000.132942,2000.150324,0,,7,7.572525408e-13,0
2000139343190_Node0_Node8_Zero,2000.141034,2000.150324,0,,6,7.572525408e-13,0
2000147541523_Node0_Node8_Zero,2000.152023,2000.153977,0,,0,7.572525408e-13,0
2000155736963_Node0_Node8_Zero,2000.160547,2000.161659,0,,0,7.572525408e-13,0
2000163937010_Node0_Node8_Zero,2000.165648,2000.1665,0,,0,7.572525408e-13,0
2000172131095_Node0_Node8_Zero,2000.173662,2000.174534,0,,0,7.572525408e-13,0
2000180323156_Node0_Node8_Zero,2000.18564,2000.186471,0,,0,7.572525408e-13,0
2000188517564_Node0_Node8_Zero,2000.190189,2000.19124,0,,0,7.572525408e-13,0
2000196714709_Node0_Node8_Zero,2000.198526,2000.199497,0,,0,7.572525408e-13,0
2000204912468_Node0_Node8_Zero,2000.210462,2000.217006,0,,182,7.572525408e-13,0
2000213104285_Node0_Node8_Zero,2000.229465,2000.231258,0,,0,7.572525408e-13,0
2000221300138_Node0_Node8_Zero,2000.232537,2000.234148,0,,0,7.572525408e-13,0
2000229497524_Node0_Node8_Zero,2000.232537,2000.234148,0,,0,7.572525408e-13,0
2000237698360_Node0_Node8_Zero,2000.23943,2000.240421,0,,0,7.572525408e-13,0
2000245898201_Node0_Node8_Zero,2000.251289,2000.25226,0,,0,7.572525408e-13,0
2000254090613_Node0_Node8_Zero,2000.255942,2000.256953,0,,0,7.572525408e-13,0
2000262284861_Node0_Node8_Zero,2000.264116,2000.264987,0,,0,7.572525408e-13,0
2000270478438_Node0_Node8_Zero,2000.27213,2000.272941,0,,0,7.572525408e-13,0
2000278678957_Node0_Node8_Zero,2000.282746,2000.285263,0,,0,7.572525408e-13,0
2000286875329_Node0_Node8_Zero,2000.288687,2000.289678,0,,0,7.572525408e-13,0
2000295068954_Node0_Node8_Zero,2000.298369,2000.301182,0,,0,7.572525408e-13,0
2000303262792_Node0_Node8_Zero,2000.310338,2000.311269,0,,0,7.572525408e-13,0
2000311454803_Node0_Node8_Zero,2000.31466,2000.31845,0,,0,7.572525408e-13,0
2000319656241_Node0_Node8_Zero,2000.321954,2000.322985,0,,0,7.572525408e-13,0
2000327854111_Node0_Node8_Zero,2000.329845,2000.330677,0,,0,7.572525408e-13,0
2000336046421_Node0_Node8_Zero,2000.337938,2000.338749,0,,0,7.572525408e-13,0
2000344241303_Node0_Node8_Zero,2000.345733,2000.346764,0,,0,7.572525408e-13,0
2000352442882_Node0_Node8_Zero,2000.354434,2000.355525,0,,0,7.572525408e-13,0
2000360641782_Node0_Node8_Zero,2000.362433,2000.363444,0,,0,7.572525408e-13,0
2000368836414_Node0_Node8_Zero,2000.370528,2000.373831,0,,0,7.572525408e-13,0
2000377036117_Node0_Node8_Zero,2000.400491,2002.184695,1,RetryLimit,13345,1.3792238154066846e-12,nan
2000385236951_Node0_Node8_Zero,2000.40711,2002.278544,1,RetryLimit,13345,0,nan
2000393429104_Node0_Node8_Zero,2000.40711,2002.278544,1,RetryLimit,13345,0,nan
2000401627465_Node0_Node8_Zero,2000.413784,2000.574285,1,RetryLimit,2233,0,nan
2000409823845_Node0_Node8_Zero,2000.463203,2000.929619,1,RetryLimit,4464,0,nan
2000426212831_Node0_Node8_Zero,2000.502715,2000.916351,1,RetryLimit,3686,0,nan
2000418016849_Node0_Node8_Zero,2000.502715,2000.916351,1,RetryLimit,3686,0,nan
2000483590988_Node0_Node8_Zero,2000.528216,2001.369069,1,RetryLimit,4525,0,nan
2000491783256_Node0_Node8_Zero,2000.528216,2001.369069,1,RetryLimit,4525,0,nan
2000508170579_Node0_Node8_Zero,2000.534696,2001.876419,1,RetryLimit,9448,0,nan
2000458998324_Node0_Node8_Zero,2000.540109,2001.876419,1,RetryLimit,9298,0,nan
2000499975509_Node0_Node8_Zero,2000.548508,2000.812504,1,RetryLimit,2510,0,nan
2000467197354_Node0_Node8_Zero,2000.638709,2005.411272,1,Expiry,34948,0,nan
2000475397182_Node0_Node8_Zero,2000.638709,2005.411272,1,Expiry,34948,0,nan
2000540957191_Node0_Node8_Zero,2000.640586,2001.310681,1,RetryLimit,3321,0,nan
2000557355376_Node0_Node8_Zero,2000.645665,2001.310681,1,RetryLimit,3145,0,nan
2000565549456_Node0_Node8_Zero,2000.645665,2002.146039,1,RetryLimit,10687,0,nan
2000549156930_Node0_Node8_Zero,2000.649985,2002.146039,1,RetryLimit,10510,0,nan
2000590142153_Node0_Node8_Zero,2000.724067,2002.21839,1,RetryLimit,8722,1.4363566093359005e-12,nan
2000614733617_Node0_Node8_Zero,2000.765162,2002.21839,1,RetryLimit,8720,1.4363566093359005e-12,nan
2000622928317_Node0_Node8_Zero,2000.765162,2002.502322,1,RetryLimit,8720,0,nan
2000606536036_Node0_Node8_Zero,2000.769455,2002.502322,1,RetryLimit,8720,0,nan
2000581940521_Node0_Node8_Zero,2000.769455,2005.467925,1,Expiry,32717,0,nan
2000631121233_Node0_Node8_Zero,2000.778848,2005.467925,1,Expiry,32717,0,nan
2000598337969_Node0_Node8_Zero,2000.778848,2002.330433,1,RetryLimit,8720,0,nan
2000655707514_Node0_Node8_Zero,2000.78079,2002.330433,1,RetryLimit,8720,0,nan
2000647514631_Node0_Node8_Zero,2000.78079,2001.230672,1,RetryLimit,1178,0,nan
2000639318826_Node0_Node8_Zero,2000.782733,2001.230672,1,RetryLimit,1178,0,nan
2000663904120_Node0_Node8_Zero,2000.782733,2002.538368,1,RetryLimit,8720,0,nan
2000672098620_Node0_Node8_Zero,2000.783715,2002.538368,1,RetryLimit,8720,0,nan
2000696688758_Node0_Node8_Zero,2000.820177,2002.259302,1,RetryLimit,8720,0,nan
2000704882785_Node0_Node8_Zero,2000.820177,2002.259302,1,RetryLimit,8720,0,nan
2000713077302_Node0_Node8_Zero,2000.826787,2001.240798,1,RetryLimit,1178,0,nan
2000680295815_Node0_Node8_Zero,2000.833712,2001.240798,1,RetryLimit,1178,0,nan
2000688495863_Node0_Node8_Zero,2000.833712,2002.036893,1,RetryLimit,8720,0,nan
2000434406650_Node0_Node8_Zero,2001.204644,2001.453722,1,RetryLimit,996,0,nan
2000442602070_Node0_Node8_Zero,2001.335161,2001.43142,1,RetryLimit,299,0,nan
2000721277830_Node0_Node8_Zero,2001.462471,2001.532239,1,RetryLimit,47,0,nan
2000778646017_Node0_Node8_Zero,2001.576384,2002.378626,1,RetryLimit,7196,0,nan
2000786846338_Node0_Node8_Zero,2001.576384,2002.378626,1,RetryLimit,7196,0,nan
2000762258396_Node0_Node8_Zero,2001.602564,2002.460226,1,RetryLimit,6624,0,nan
2000770450228_Node0_Node8_Zero,2001.602564,2002.460226,1,RetryLimit,6624,0,nan
2000827840298_Node0_Node8_Zero,2001.621992,2002.617859,1,RetryLimit,6255,0,nan
2000819643237_Node0_Node8_Zero,2001.626177,2002.617859,1,RetryLimit,6078,0,nan
2000860634286_Node0_Node8_Zero,2001.626177,2002.421265,1,RetryLimit,6078,2.62312785e-13,nan
2000877022351_Node0_Node8_Zero,2001.633745,2002.421265,1,RetryLimit,5898,2.62312785e-13,nan
2000852433692_Node0_Node8_Zero,2001.640753,2003.729056,1,RetryLimit,21431,0,nan
2000836039111_Node0_Node8_Zero,2001.649287,2003.729056,1,RetryLimit,21072,0,nan
2000868826296_Node0_Node8_Zero,2001.65149,2004.980253,1,Expiry,29311,0,nan
2000885214515_Node0_Node8_Zero,2001.654591,2004.980253,1,Expiry,29260,0,nan
2000844239086_Node0_Node8_Zero,2001.700038,2003.083724,1,RetryLimit,17874,0,nan
2000893412611_Node0_Node8_Zero,2001.72679,2003.083724,1,RetryLimit,17465,0,nan
2000524568184_Node0_Node8_Zero,2002.576714,2002.690312,1,RetryLimit,2,0,nan
2000532763687_Node0_Node8_Zero,2002.590525,2002.690312,1,RetryLimit,2,0,nan
2000926194291_Node0_Node8_Zero,2002.697933,2003.882312,1,RetryLimit,15667,0,nan
2000934389300_Node0_Node8_Zero,2002.697933,2003.882312,1,RetryLimit,15667,0,nan
2000909804208_Node0_Node8_Zero,2002.703647,2005.175042,1,Expiry,23907,0,nan
2000917998929_Node0_Node8_Zero,2002.703647,2005.175042,1,Expiry,23907,0,nan
2000942588655_Node0_Node8_Zero,2002.705684,2005.20583,1,Expiry,23818,0,nan
2000950784250_Node0_Node8_Zero,2002.705684,2005.20583,1,Expiry,23818,0,nan
2000958981886_Node0_Node8_Zero,2002.718226,2004.9267,1,Expiry,23462,3.16749491625361e-13,nan
2000967182808_Node0_Node8_Zero,2002.718226,2004.9267,1,Expiry,23462,3.16749491625361e-13,nan
2000991773422_Node0_Node8_Zero,2002.724108,2004.965057,1,Expiry,23196,0,nan
2000999971458_Node0_Node8_Zero,2002.724108,2004.965057,1,Expiry,23196,0,nan
2001016366729_Node0_Node8_Zero,2002.730116,2004.929712,1,Expiry,22929,0,nan
2001040958788_Node0_Node8_Zero,2002.730116,2004.929712,1,Expiry,22929,0,nan
2001081949120_Node0_Node8_Zero,2002.734013,2003.605056,1,RetryLimit,14512,0,nan
2001090147290_Node0_Node8_Zero,2002.734013,2003.605056,1,RetryLimit,14512,0,nan
2001049155912_Node0_Node8_Zero,2002.73615,2005.301951,1,Expiry,22751,0,nan
2000975376718_Node0_Node8_Zero,2002.74918,2005.301951,1,Expiry,22190,0,nan
2000983573690_Node0_Node8_Zero,2002.770319,2005.051604,1,Expiry,21481,0,nan
2001114737739_Node0_Node8_Zero,2002.783203,2005.051604,1,Expiry,21048,0,nan
2001122934866_Node0_Node8_Zero,2002.783203,2005.080509,1,Expiry,21048,0,nan
2001147519140_Node0_Node8_Zero,2002.786337,2005.080509,1,Expiry,20912,0,nan
2001155712265_Node0_Node8_Zero,2002.786337,2003.854643,1,RetryLimit,12584,6.335548940991937e-13,nan
2001131128090_Node0_Node8_Zero,2002.790227,2003.854643,1,RetryLimit,12495,6.335548940991937e-13,nan
2001139319828_Node0_Node8_Zero,2002.790227,2003.570262,1,RetryLimit,12495,0,nan
2001204889318_Node0_Node8_Zero,2002.796658,2003.570262,1,RetryLimit,12229,0,nan
2001229482969_Node0_Node8_Zero,2002.798581,2003.665923,1,RetryLimit,12140,0,nan
2001180302113_Node0_Node8_Zero,2002.798581,2003.665923,1,RetryLimit,12140,0,nan
2001172104139_Node0_Node8_Zero,2002.801301,2004.899502,1,Expiry,20336,0,nan
2001254074625_Node0_Node8_Zero,2002.80524,2004.899502,1,Expiry,20159,0,nan
2001262275509_Node0_Node8_Zero,2002.80524,2004.912952,1,Expiry,20159,0,nan
2001065549949_Node0_Node8_Zero,2002.813127,2004.912952,1,Expiry,19846,0,nan
2001245882237_Node0_Node8_Zero,2002.813127,2005.010728,1,Expiry,19846,0,nan
2001196696154_Node0_Node8_Zero,2002.81521,2005.010728,1,Expiry,19758,0,nan
2001237680673_Node0_Node8_Zero,2002.81521,2003.623003,1,RetryLimit,11430,0,nan
2001319660446_Node0_Node8_Zero,2002.821192,2003.623003,1,RetryLimit,11164,0,nan
2001327858229_Node0_Node8_Zero,2002.821192,2005.100274,1,Expiry,19492,0,nan
