Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000008195690_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.008196,2000.008266,0.016183,8,0,2343.0,"0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297",0.007664,1.664145,1.664145,11,11
2000016397037_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.016397,2000.016467,0.016184,8,0,2343.0,"0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.008173897708827777,0.008173897708827777,0.007663753805745297,0.008173897708827777",0.007855,1.664145,1.77492,11,11
2000024598233_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.024598,2000.024948,0.016524,8,0,2343.0,"0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.008018020405108132,0.008018020405108132,0.008018020405108132",0.007797,1.664145,1.741072,11,11
2000032794033_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.032794,2000.032884,0.016284,8,0,2343.0,"0.009175148361596098,0.009175148361596098,0.009080820203196631,0.009175148361596098,0.008274504896553632,0.008274504896553632,0.008268225867227245,0.008274504896553632",0.008712,1.795403,1.796766,11,11
2000040986548_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.040987,2000.041277,0.016083,8,0,2343.0,"0.0108521532000108,0.0108521532000108,0.010999540947509965,0.010999540947509965,0.008386136065226577,0.007663753805745297,0.008395947048549058,0.008395947048549058",0.009568,1.664145,1.823137,11,11
2000049184585_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.049185,2000.049235,0.016263,8,0,2343.0,"0.007663753805745297,0.007663753805745297,0.007663753805745297,0.011103635489699518,0.011106247793514108,0.007663753805745297,0.007663753805745297,0.007663753805745297",0.008524,1.664145,1.664145,11,11
2000057379768_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.05738,2000.05749,0.016723,8,0,2343.0,"0.009214392294886018,0.009080820203196631,0.009216206394757263,0.009216206394757263,0.007663753805745297,0.008268225867227245,0.007663753805745297,0.007663753805745297",0.008498,1.664145,1.664145,11,11
2000065574049_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.065574,2000.065724,0.015984,8,0,2343.0,"0.007663753805745297,0.007663753805745297,0.009080820203196631,0.009080820203196631,0.008173897708827777,0.008173897708827777,0.008268225867227245,0.008268225867227245",0.008297,1.664145,1.795403,11,11
2000073775709_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.073776,2000.073946,0.016163,8,0,2343.0,"0.009080820203196631,0.0108521532000108,0.011103635489699518,0.0108521532000108,0.0108521532000108,0.008083526070663316,0.008165408152607297,0.00817703323580102",0.009646,1.755296,1.775601,11,11
2000081974450_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.081974,2000.082324,0.016464,8,0,2343.0,"0.009529414960958932,0.009175148361596098,0.009192590109724952,0.009192590109724952,0.007663753805745297,0.008104262924084326,0.00808788650769553,0.00808869277430497",0.008629,1.664145,1.756418,11,11
