Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000005463450_Node0_Node8_Zero,2000.01763,2000.019603,0,,1,5.903770474416938e-13,0
2000010932556_Node0_Node8_Zero,2000.024026,2000.025999,0,,1,5.2586982e-13,0
2000016399656_Node0_Node8_Zero,2000.034285,2000.036337,0,,1,5.2586982e-13,1.5676596116629973e-14
2000021864880_Node0_Node8_Zero,2000.042448,2000.04456,0,,1,5.2586982e-13,0
2000027333865_Node0_Node8_Zero,2000.050192,2000.052144,0,,1,5.2586982e-13,0
2000032793881_Node0_Node8_Zero,2000.0599,2000.061973,0,,1,5.2586982e-13,2.10347928e-14
2000038254340_Node0_Node8_Zero,2000.072333,2000.074526,0,,1,5.2586982e-13,0
2000043714021_Node0_Node8_Zero,2000.081308,2000.083441,0,,1,5.921648874766615e-13,0
2000049182352_Node0_Node8_Zero,2000.088975,2000.090988,0,,1,5.842998e-13,0
2000054651590_Node0_Node8_Zero,2000.095061,2000.097054,0,,1,5.2586982e-13,0
2000060116431_Node0_Node8_Zero,2000.103623,2000.105756,0,,1,4.7962870314040893e-14,0
2000065581279_Node0_Node8_Zero,2000.116673,2000.118885,0,,1,5.2586982e-13,0
2000071050486_Node0_Node8_Zero,2000.124972,2000.127184,0,,1,6.018131317025849e-13,0
2000076518968_Node0_Node8_Zero,2000.131497,2000.139328,0,,181,5.72410490493811e-13,0
2000081984739_Node0_Node8_Zero,2000.135378,2000.143268,0,,182,5.2586982e-13,0
2000087453516_Node0_Node8_Zero,2000.137403,2000.147279,0,,186,5.2586982e-13,0
2000092918281_Node0_Node8_Zero,2000.149301,2000.153202,0,,91,5.2586982e-13,0
2000098384433_Node0_Node8_Zero,2000.169222,2000.171215,0,,1,5.842998e-14,4.471513001480089e-14
2000103845187_Node0_Node8_Zero,2000.175932,2000.178144,0,,1,5.2586982e-13,0
2000109308697_Node0_Node8_Zero,2000.189043,2000.190976,0,,1,5.2586982e-13,1.1923814429477974e-14
2000114775284_Node0_Node8_Zero,2000.195193,2000.197146,0,,1,5.2586982e-13,0
2000120239971_Node0_Node8_Zero,2000.220826,2000.222978,0,,1,5.842998e-14,3.286686375e-14
2000125704798_Node0_Node8_Zero,2000.227793,2000.229706,0,,1,5.469046128e-13,0
2000131173116_Node0_Node8_Zero,2000.241697,2000.24383,0,,1,5.2586982e-13,0
2000136639133_Node0_Node8_Zero,2000.255922,2000.257855,0,,1,5.2586982e-13,0
2000142104489_Node0_Node8_Zero,2000.261993,2000.264206,0,,1,5.842998e-13,0
2000147568212_Node0_Node8_Zero,2000.274142,2000.276215,0,,1,5.2586982e-13,0
2000153031920_Node0_Node8_Zero,2000.278073,2000.285474,0,,182,5.2586982e-13,0
2000158494301_Node0_Node8_Zero,2000.283468,2000.287617,0,,4,5.2586982e-13,1.6206488032304494e-14
2000163962393_Node0_Node8_Zero,2000.294243,2000.296315,0,,1,5.2586982e-13,0
