Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000016392412_Node0_Node8_Zero,2000.016392,2000.045287,1,RetryLimit,0,0,nan
2000032790479_Node0_Node8_Zero,2000.03279,2000.050715,0,,1,5.2586982e-13,0
2000049186319_Node0_Node8_Zero,2000.049186,2000.050715,0,,1,5.2586982e-13,0
2000065577449_Node0_Node8_Zero,2000.065577,2000.066526,0,,1,5.2586982e-13,0
2000081968069_Node0_Node8_Zero,2000.081968,2000.082776,0,,1,5.2586982e-13,0
2000098362983_Node0_Node8_Zero,2000.098363,2000.099371,0,,1,5.2586982e-13,0
2000114751513_Node0_Node8_Zero,2000.114752,2000.11578,0,,1,5.2586982e-13,0
2000131145427_Node0_Node8_Zero,2000.131145,2000.131914,0,,1,5.2586982e-13,0
2000147536187_Node0_Node8_Zero,2000.147536,2000.148544,0,,1,5.2586982e-13,0
2000163927958_Node0_Node8_Zero,2000.163928,2000.164896,0,,1,5.2586982e-13,0
2000180325804_Node0_Node8_Zero,2000.180326,2000.181214,0,,1,5.2586982e-13,0
2000196718895_Node0_Node8_Zero,2000.196719,2000.197747,0,,1,5.2586982e-13,0
2000213112217_Node0_Node8_Zero,2000.213112,2000.21388,0,,1,5.2586982e-13,0
2000229506769_Node0_Node8_Zero,2000.229507,2000.230455,0,,1,5.5873668375e-13,0
2000245900299_Node0_Node8_Zero,2000.2459,2000.246849,0,,1,5.2586982e-13,0
2000262293181_Node0_Node8_Zero,2000.262293,2000.263161,0,,1,5.2586982e-13,0
2000278683694_Node0_Node8_Zero,2000.278684,2000.279612,0,,1,5.2586982e-13,0
2000295073238_Node0_Node8_Zero,2000.295073,2000.296121,0,,1,5.2586982e-13,0
2000311461819_Node0_Node8_Zero,2000.311462,2000.31239,0,,1,5.2586982e-13,0
2000327851964_Node0_Node8_Zero,2000.327852,2000.32864,0,,1,5.2586982e-13,0
2000344240871_Node0_Node8_Zero,2000.344241,2000.345289,0,,1,5.2586982e-13,0
2000360634147_Node0_Node8_Zero,2000.360634,2000.361682,0,,1,5.2586982e-13,0
2000377029982_Node0_Node8_Zero,2000.37703,2000.377998,0,,1,5.2586982e-13,0
2000393428249_Node0_Node8_Zero,2000.393428,2000.394396,0,,1,5.2586982e-13,0
2000409825233_Node0_Node8_Zero,2000.409825,2000.410633,0,,1,5.2586982e-13,0
2000426220457_Node0_Node8_Zero,2000.42622,2000.427269,0,,1,5.2586982e-13,0
2000442613590_Node0_Node8_Zero,2000.442614,2000.443522,0,,1,5.990805683333333e-13,0
2000459009735_Node0_Node8_Zero,2000.45901,2000.459858,0,,1,1.0732037142857143e-14,0
2000475402264_Node0_Node8_Zero,2000.475402,2000.47625,0,,1,5.2586982e-13,0
2000491800097_Node0_Node8_Zero,2000.4918,2000.492848,0,,1,5.366018571428572e-13,0
2000508196459_Node0_Node8_Zero,2000.508196,2000.509165,0,,1,5.796573085714286e-13,0
2000524594637_Node0_Node8_Zero,2000.524595,2000.525423,0,,1,5.2586982e-13,0
2000540983527_Node0_Node8_Zero,2000.540984,2000.541832,0,,1,5.2586982e-13,0
2000557376296_Node0_Node8_Zero,2000.557376,2000.558385,0,,1,5.2586982e-13,0
2000573772358_Node0_Node8_Zero,2000.573772,2000.574621,0,,1,5.2586982e-13,0
2000590168766_Node0_Node8_Zero,2000.590169,2000.591017,0,,1,5.2586982e-13,0
2000606559220_Node0_Node8_Zero,2000.606559,2000.607607,0,,1,5.2586982e-13,0
2000622955709_Node0_Node8_Zero,2000.622956,2000.623784,0,,1,5.2586982e-13,0
