Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000027333597_Node0_Node8_Zero,2000.090174,2000.153566,1,RetryLimit,1015,0,nan
2000032798784_Node0_Node8_Zero,2000.090174,2000.153566,1,RetryLimit,1015,0,nan
2000038266521_Node0_Node8_Zero,2000.090174,2000.153566,1,RetryLimit,1015,0,nan
2000043735184_Node0_Node8_Zero,2000.092124,2000.155572,0,,928,5.2586982e-13,0
2000049202658_Node0_Node8_Zero,2000.092124,2000.155572,0,,928,5.2586982e-13,0
2000054668610_Node0_Node8_Zero,2000.092124,2000.155572,0,,928,5.2586982e-13,0
2000060132170_Node0_Node8_Zero,2000.096136,2000.160226,0,,965,5.2586982e-13,0
2000065597205_Node0_Node8_Zero,2000.096136,2000.160226,0,,965,5.2586982e-13,0
2000071062803_Node0_Node8_Zero,2000.096136,2000.160226,0,,965,5.2586982e-13,0
2000076531524_Node0_Node8_Zero,2000.098998,2000.163861,0,,911,5.2586982e-13,0
2000081994365_Node0_Node8_Zero,2000.098998,2000.163861,0,,911,5.2586982e-13,0
2000087461343_Node0_Node8_Zero,2000.098998,2000.163861,0,,911,5.2586982e-13,0
2000092922241_Node0_Node8_Zero,2000.100699,2000.168481,0,,969,5.2586982e-13,0
2000098384798_Node0_Node8_Zero,2000.103416,2000.168481,0,,936,5.2586982e-13,0
2000103847066_Node0_Node8_Zero,2000.10586,2000.168481,0,,868,5.2586982e-13,0
2000109313771_Node0_Node8_Zero,2000.111046,2000.171942,0,,868,5.2586982e-13,0
2000114774446_Node0_Node8_Zero,2000.116487,2000.171942,0,,800,5.2586982e-13,0
2000120242375_Node0_Node8_Zero,2000.123948,2000.171942,0,,732,5.2586982e-13,0
2000125710461_Node0_Node8_Zero,2000.128944,2000.175363,0,,734,5.2586982e-13,0
2000131172587_Node0_Node8_Zero,2000.132985,2000.175363,0,,666,5.2586982e-13,0
2000136635368_Node0_Node8_Zero,2000.138188,2000.175363,0,,598,5.2586982e-13,0
2000142095084_Node0_Node8_Zero,2000.143708,2000.178084,0,,567,5.2586982e-13,0
2000147563164_Node0_Node8_Zero,2000.149236,2000.178084,0,,499,5.2586982e-13,0
2000153025270_Node0_Node8_Zero,2000.161015,2000.178084,0,,338,5.2586982e-13,0
2000158489280_Node0_Node8_Zero,2000.169175,2000.180792,0,,177,5.2586982e-13,0
2000163949413_Node0_Node8_Zero,2000.169964,2000.180792,0,,144,5.2586982e-13,0
2000169417447_Node0_Node8_Zero,2000.173395,2000.180792,0,,74,5.2586982e-13,0
2000174886178_Node0_Node8_Zero,2000.178822,2000.181578,0,,4,5.2586982e-13,0
2000180345955_Node0_Node8_Zero,2000.185192,2000.186305,0,,1,5.2586982e-13,0
2000185807995_Node0_Node8_Zero,2000.188026,2000.189018,0,,1,5.2586982e-13,0
2000191268422_Node0_Node8_Zero,2000.193021,2000.194094,0,,1,5.2586982e-13,0
2000196734777_Node0_Node8_Zero,2000.199223,2000.200336,0,,1,5.2586982e-13,0
2000202197837_Node0_Node8_Zero,2000.20401,2000.205043,0,,1,5.2586982e-13,0
2000207661521_Node0_Node8_Zero,2000.209534,2000.210527,0,,1,5.2586982e-13,0
2000213125220_Node0_Node8_Zero,2000.216945,2000.217937,0,,1,5.2586982e-13,0
2000218588744_Node0_Node8_Zero,2000.220321,2000.221274,0,,1,5.2586982e-13,0
2000224053583_Node0_Node8_Zero,2000.225706,2000.226579,0,,1,5.2586982e-13,0
2000229518277_Node0_Node8_Zero,2000.231291,2000.232183,0,,1,5.2586982e-13,0
2000234985639_Node0_Node8_Zero,2000.238329,2000.239202,0,,1,5.2586982e-13,0
2000240449846_Node0_Node8_Zero,2000.242362,2000.243315,0,,1,5.2586982e-13,0
2000245912605_Node0_Node8_Zero,2000.247705,2000.248538,0,,1,5.2586982e-13,0
2000251376237_Node0_Node8_Zero,2000.252969,2000.253781,0,,1,5.2586982e-13,0
2000256845338_Node0_Node8_Zero,2000.258678,2000.259771,0,,1,5.2586982e-13,0
2000262314598_Node0_Node8_Zero,2000.283818,2000.286648,0,,90,5.2586982e-13,0
2000267777348_Node0_Node8_Zero,2000.289215,2000.291227,0,,1,5.2586982e-13,0
