Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.1-2001.1,61,15,0.2459016393442623,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2001.1-2002.1,61,10,0.16393442622950818,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2002.1-2003.1,61,16,0.26229508196721313,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2003.1-2004.1,61,20,0.32786885245901637,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2004.1-2005.1,61,23,0.3770491803278688,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2005.1-2006.1,61,29,0.47540983606557374,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2006.1-2007.1,61,34,0.5573770491803278,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2007.1-2008.1,61,50,0.819672131147541,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2008.1-2009.1,61,15,0.2459016393442623,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2009.1-2010.1,56,32,0.5714285714285714,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2010.1-2011.1,0,27,27.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2011.1-2012.1,0,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2012.1-2013.1,0,45,45.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
2013.1-2014.1,0,10,10.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_1Mbps/Flow_Node0-Node8.csv
