Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,146,3991,30,30,0,0,4137,5319,0,0,44,47,586,0,53,0,0
Node1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node2,97,204,188,272,4287,5432,301,454,4287,5366,38,44,1087,0,48,0,0
Node3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node4,23,264,65,84,220,299,287,497,220,291,33,41,0,0,74,0,0
Node5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node6,33,254,53,76,281,455,287,497,281,419,26,38,0,0,74,0,0
Node7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node8,0,0,27,53,289,480,0,0,289,458,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
