Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.1-2001.1,122,6,0.04918032786885246,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2001.1-2002.1,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2002.1-2003.1,122,10,0.08196721311475409,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2003.1-2004.1,122,62,0.5081967213114754,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2004.1-2005.1,122,3,0.02459016393442623,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2005.1-2006.1,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2006.1-2007.1,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2007.1-2008.1,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2008.1-2009.1,122,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2009.1-2010.1,113,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2010.1-2011.1,0,19,19.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2011.1-2012.1,0,131,131.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
2012.1-2013.1,0,47,47.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase2_crossflow_500m_mcs_adaptive_2Mbps_0.75decrement_threshold/Flow_Node0-Node8.csv
