Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000004097330_Node0_Node8_Zero,2000.004097,2000.020628,1,RetryLimit,0,0,nan
2000008200315_Node0_Node8_Zero,2000.0082,2000.026519,0,,0,7.572525408e-13,0
2000012296848_Node0_Node8_Zero,2000.012297,2000.026519,0,,0,7.572525408e-13,0
2000016399647_Node0_Node8_Zero,2000.0164,2000.026519,0,,0,7.572525408e-13,0
2000020494571_Node0_Node8_Zero,2000.020495,2000.027969,0,,0,7.572525408e-13,0
2000024592375_Node0_Node8_Zero,2000.024592,2000.027969,0,,0,7.572525408e-13,0
2000028689007_Node0_Node8_Zero,2000.028689,2000.030932,0,,0,7.572525408e-13,0
2000032786202_Node0_Node8_Zero,2000.032786,2000.033826,0,,0,7.572525408e-13,0
2000036882651_Node0_Node8_Zero,2000.036883,2000.03787,0,,0,7.572525408e-13,0
2000040982246_Node0_Node8_Zero,2000.040982,2000.042009,0,,0,7.572525408e-13,0
2000045078796_Node0_Node8_Zero,2000.045079,2000.046106,0,,0,7.572525408e-13,0
2000049177355_Node0_Node8_Zero,2000.049177,2000.050224,0,,0,7.572525408e-13,0
2000053279322_Node0_Node8_Zero,2000.053279,2000.055959,0,,0,7.572525408e-13,0
2000057374154_Node0_Node8_Zero,2000.057374,2000.058421,0,,0,7.572525408e-13,0
2000061470969_Node0_Node8_Zero,2000.061471,2000.063549,0,,0,7.572525408e-13,0
2000065566354_Node0_Node8_Zero,2000.065566,2000.066453,0,,0,7.572525408e-13,0
2000069664164_Node0_Node8_Zero,2000.069664,2000.070651,0,,0,7.572525408e-13,0
2000073761292_Node0_Node8_Zero,2000.073761,2000.074588,0,,0,7.572525408e-13,0
2000077863344_Node0_Node8_Zero,2000.077863,2000.07865,0,,0,7.572525408e-13,0
2000081962324_Node0_Node8_Zero,2000.081962,2000.082969,0,,0,7.572525408e-13,0
2000086056775_Node0_Node8_Zero,2000.086057,2000.087438,0,,0,7.572525408e-13,0
2000090154152_Node0_Node8_Zero,2000.090154,2000.099651,0,,267,7.572525408e-13,0
2000094257448_Node0_Node8_Zero,2000.094257,2000.102941,0,,214,7.572525408e-13,0
2000098353425_Node0_Node8_Zero,2000.098353,2000.102941,0,,116,7.572525408e-13,0
2000102447320_Node0_Node8_Zero,2000.102447,2000.109832,0,,61,7.572525408e-13,0
2000106547431_Node0_Node8_Zero,2000.106547,2000.109832,0,,61,7.572525408e-13,0
2000110641890_Node0_Node8_Zero,2000.110642,2000.112162,0,,23,7.572525408e-13,0
2000114735360_Node0_Node8_Zero,2000.114735,2000.117146,0,,0,7.572525408e-13,0
2000118833979_Node0_Node8_Zero,2000.118834,2000.119601,0,,0,7.572525408e-13,0
2000122935094_Node0_Node8_Zero,2000.122935,2000.125178,0,,0,7.572525408e-13,0
2000127033682_Node0_Node8_Zero,2000.127034,2000.127901,0,,0,7.572525408e-13,0
2000131132172_Node0_Node8_Zero,2000.131132,2000.131939,0,,0,7.572525408e-13,0
2000135230476_Node0_Node8_Zero,2000.13523,2000.136257,0,,0,7.572525408e-13,0
2000139324584_Node0_Node8_Zero,2000.139325,2000.142131,0,,0,7.572525408e-13,0
2000143423664_Node0_Node8_Zero,2000.143424,2000.144351,0,,0,7.572525408e-13,0
2000147517613_Node0_Node8_Zero,2000.147518,2000.149095,0,,0,7.572525408e-13,0
2000151616958_Node0_Node8_Zero,2000.151617,2000.187346,0,,0,7.572525408e-13,0
2000155713741_Node0_Node8_Zero,2000.155714,2000.189215,0,,0,7.572525408e-13,0
2000159815683_Node0_Node8_Zero,2000.159816,2000.189215,0,,0,7.572525408e-13,0
2000163911011_Node0_Node8_Zero,2000.163911,2000.189215,0,,0,7.572525408e-13,0
2000168005623_Node0_Node8_Zero,2000.168006,2000.191957,0,,33,7.572525408e-13,0
2000172099732_Node0_Node8_Zero,2000.1721,2000.191957,0,,33,7.572525408e-13,0
2000176194080_Node0_Node8_Zero,2000.176194,2000.191957,0,,33,7.572525408e-13,0
2000180290567_Node0_Node8_Zero,2000.180291,2000.198604,0,,122,7.572525408e-13,0
2000184390621_Node0_Node8_Zero,2000.184391,2000.198604,0,,122,7.572525408e-13,0
2000188487931_Node0_Node8_Zero,2000.188488,2000.198604,0,,122,7.572525408e-13,0
2000192583638_Node0_Node8_Zero,2000.192584,2000.205741,0,,246,7.572525408e-13,0
2000196679763_Node0_Node8_Zero,2000.19668,2000.205741,0,,178,7.572525408e-13,0
2000200776499_Node0_Node8_Zero,2000.200776,2000.208424,0,,145,7.572525408e-13,0
2000204876974_Node0_Node8_Zero,2000.204877,2000.208424,0,,61,7.572525408e-13,0
2000208970967_Node0_Node8_Zero,2000.208971,2000.21109,0,,0,7.572525408e-13,0
2000213064643_Node0_Node8_Zero,2000.213065,2000.215584,0,,72,7.572525408e-13,0
2000217158564_Node0_Node8_Zero,2000.217159,2000.218626,0,,30,7.572525408e-13,0
2000221254259_Node0_Node8_Zero,2000.221254,2000.222668,0,,0,7.572525408e-13,0
2000225354497_Node0_Node8_Zero,2000.225354,2000.227381,0,,0,7.572525408e-13,0
2000229452344_Node0_Node8_Zero,2000.229452,2000.230359,0,,0,7.572525408e-13,0
2000233546202_Node0_Node8_Zero,2000.233546,2000.234333,0,,0,7.572525408e-13,0
2000237646285_Node0_Node8_Zero,2000.237646,2000.238433,0,,0,7.572525408e-13,0
2000241741069_Node0_Node8_Zero,2000.241741,2000.242688,0,,0,7.572525408e-13,0
2000245840168_Node0_Node8_Zero,2000.24584,2000.246647,0,,0,7.572525408e-13,0
2000249935989_Node0_Node8_Zero,2000.249936,2000.250823,0,,0,7.572525408e-13,0
2000254035402_Node0_Node8_Zero,2000.254035,2000.257202,0,,0,7.572525408e-13,0
2000258138071_Node0_Node8_Zero,2000.258138,2000.259739,0,,0,7.572525408e-13,0
2000262240744_Node0_Node8_Zero,2000.262241,2000.263128,0,,0,7.572525408e-13,0
2000266340113_Node0_Node8_Zero,2000.26634,2000.274253,0,,0,7.572525408e-13,0
2000270434147_Node0_Node8_Zero,2000.270434,2000.280102,0,,33,7.572525408e-13,0
2000274528783_Node0_Node8_Zero,2000.274529,2000.280102,0,,33,7.572525408e-13,0
2000278630175_Node0_Node8_Zero,2000.27863,2000.296664,0,,67,8.045808246e-13,0
2000282726526_Node0_Node8_Zero,2000.282727,2000.296664,0,,61,8.045808246e-13,0
2000286824504_Node0_Node8_Zero,2000.286825,2000.298879,0,,2,7.572525408e-13,0
2000290924565_Node0_Node8_Zero,2000.290925,2000.298879,0,,2,7.572525408e-13,0
2000295027743_Node0_Node8_Zero,2000.295028,2000.298879,0,,2,7.572525408e-13,0
2000299129742_Node0_Node8_Zero,2000.29913,2000.301617,0,,0,7.572525408e-13,0
2000303223354_Node0_Node8_Zero,2000.303223,2000.312942,0,,61,7.572525408e-13,0
2000307320052_Node0_Node8_Zero,2000.30732,2000.318666,0,,0,8.045808246e-13,0
2000311416398_Node0_Node8_Zero,2000.311416,2000.318666,0,,0,8.045808246e-13,0
2000315514855_Node0_Node8_Zero,2000.315515,2000.318666,0,,0,8.045808246e-13,0
2000319618186_Node0_Node8_Zero,2000.319618,2000.322223,0,,0,7.572525408e-13,0
2000323718476_Node0_Node8_Zero,2000.323718,2000.324972,0,,0,7.572525408e-13,0
2000327816525_Node0_Node8_Zero,2000.327817,2000.333342,0,,0,7.572525408e-13,0
2000331918505_Node0_Node8_Zero,2000.331919,2000.338372,0,,0,7.572525408e-13,0
2000336020211_Node0_Node8_Zero,2000.33602,2000.338372,0,,0,7.572525408e-13,0
2000340120238_Node0_Node8_Zero,2000.34012,2000.34125,0,,2,8.045808246e-13,0
2000344213764_Node0_Node8_Zero,2000.344214,2000.345696,0,,0,7.572525408e-13,0
2000348309047_Node0_Node8_Zero,2000.348309,2000.353304,0,,192,7.572525408e-13,0
2000352402431_Node0_Node8_Zero,2000.352402,2000.358538,0,,36,7.572525408e-13,0
2000356500397_Node0_Node8_Zero,2000.3565,2000.362083,0,,66,7.572525408e-13,0
2000360598933_Node0_Node8_Zero,2000.360599,2000.366246,0,,33,7.572525408e-13,0
2000364696581_Node0_Node8_Zero,2000.364697,2000.370388,0,,33,7.572525408e-13,0
2000368799587_Node0_Node8_Zero,2000.3688,2000.374591,0,,99,7.572525408e-13,0
2000372893587_Node0_Node8_Zero,2000.372894,2000.379532,0,,72,7.572525408e-13,0
2000376993837_Node0_Node8_Zero,2000.376994,2000.381684,0,,33,8.045808246e-13,0
2000381091111_Node0_Node8_Zero,2000.381091,2000.386628,0,,0,7.572525408e-13,0
2000385184654_Node0_Node8_Zero,2000.385185,2000.386628,0,,0,7.572525408e-13,0
2000389285196_Node0_Node8_Zero,2000.389285,2000.390645,0,,22,7.572525408e-13,0
2000393385408_Node0_Node8_Zero,2000.393385,2000.394884,0,,0,7.572525408e-13,0
2000397488283_Node0_Node8_Zero,2000.397488,2000.398455,0,,8,7.572525408e-13,0
2000401586580_Node0_Node8_Zero,2000.401587,2000.405976,0,,53,7.572525408e-13,0
2000405687208_Node0_Node8_Zero,2000.405687,2000.411321,0,,0,7.572525408e-13,0
2000409787597_Node0_Node8_Zero,2000.409788,2000.411321,0,,0,7.572525408e-13,0
2000413888439_Node0_Node8_Zero,2000.413888,2000.415039,0,,0,7.572525408e-13,0
2000417984487_Node0_Node8_Zero,2000.417984,2000.418888,0,,0,7.572525408e-13,0
2000422085665_Node0_Node8_Zero,2000.422086,2000.423203,0,,0,7.572525408e-13,0
2000426185220_Node0_Node8_Zero,2000.426185,2000.427212,0,,0,7.572525408e-13,0
2000430287404_Node0_Node8_Zero,2000.430287,2000.431234,0,,0,7.572525408e-13,0
2000434385282_Node0_Node8_Zero,2000.434385,2000.435352,0,,0,4.73282838e-14,8.41391712e-14
2000438481470_Node0_Node8_Zero,2000.438481,2000.439972,0,,0,7.572525408e-13,0
2000442575395_Node0_Node8_Zero,2000.442575,2000.443765,0,,0,7.572525408e-13,0
2000446671962_Node0_Node8_Zero,2000.446672,2000.447679,0,,0,7.572525408e-13,0
2000450769210_Node0_Node8_Zero,2000.450769,2000.451576,0,,0,7.572525408e-13,0
2000454864832_Node0_Node8_Zero,2000.454865,2000.455912,0,,0,7.572525408e-13,0
2000458962493_Node0_Node8_Zero,2000.458962,2000.459889,0,,0,7.572525408e-13,0
2000463056249_Node0_Node8_Zero,2000.463056,2000.463963,0,,0,7.572525408e-13,0
2000467155876_Node0_Node8_Zero,2000.467156,2000.467943,0,,0,7.572525408e-13,0
2000471250315_Node0_Node8_Zero,2000.47125,2000.472197,0,,0,7.572525408e-13,0
2000475351577_Node0_Node8_Zero,2000.475352,2000.477406,0,,0,7.87542642432e-13,0
2000479450445_Node0_Node8_Zero,2000.47945,2000.480357,0,,0,7.87542642432e-13,4.73282838e-14
2000483548222_Node0_Node8_Zero,2000.483548,2000.486616,0,,0,6.557819625e-14,0
2000487647311_Node0_Node8_Zero,2000.487647,2000.491383,0,,32,8.2283073705e-13,0
2000491742519_Node0_Node8_Zero,2000.491743,2000.492903,0,,17,8.2283073705e-13,0
2000495843523_Node0_Node8_Zero,2000.495844,2000.496961,0,,6,8.2283073705e-13,0
2000499937571_Node0_Node8_Zero,2000.499938,2000.501037,0,,8,6.557819625e-14,1.1658346e-13
2000504039929_Node0_Node8_Zero,2000.50404,2000.504787,0,,0,8.2283073705e-13,1.1658346e-13
2000508139343_Node0_Node8_Zero,2000.508139,2000.50909,0,,2,8.57015277711641e-13,0
2000512240228_Node0_Node8_Zero,2000.51224,2000.512987,0,,0,8.2283073705e-13,0
2000516336334_Node0_Node8_Zero,2000.516336,2000.517083,0,,0,8.2283073705e-13,0
2000520430761_Node0_Node8_Zero,2000.520431,2000.521298,0,,0,8.447088430734503e-13,1.5547787070835605e-13
2000524528097_Node0_Node8_Zero,2000.524528,2000.525495,0,,0,8.2283073705e-13,0
2000528631143_Node0_Node8_Zero,2000.528631,2000.529598,0,,0,8.57015277711641e-13,1.7735597673180627e-13
2000532727211_Node0_Node8_Zero,2000.532727,2000.533734,0,,0,7.572525408e-13,0
2000536828021_Node0_Node8_Zero,2000.536828,2000.537595,0,,0,6.557819625e-14,1.1658346e-13
2000540924140_Node0_Node8_Zero,2000.540924,2000.541731,0,,0,6.557819625e-14,1.1658346e-13
2000545021891_Node0_Node8_Zero,2000.545022,2000.546049,0,,0,7.87542642432e-13,4.73282838e-14
2000549124230_Node0_Node8_Zero,2000.549124,2000.550151,0,,0,8.527804421192119e-13,0
2000553224571_Node0_Node8_Zero,2000.553225,2000.554171,0,,0,8.745630227345027e-14,0
2000557322527_Node0_Node8_Zero,2000.557323,2000.559909,0,,86,8.2283073705e-13,1.1658346e-13
2000561423594_Node0_Node8_Zero,2000.561424,2000.562552,0,,17,8.554732776926202e-13,1.7461464336465816e-13
2000565521372_Node0_Node8_Zero,2000.565521,2000.566501,0,,8,8.554732776926202e-13,0
2000569614778_Node0_Node8_Zero,2000.569615,2000.576476,0,,0,9.552790131921187e-14,1.6982738012304333e-13
2000573717505_Node0_Node8_Zero,2000.573718,2000.577386,0,,0,8.527804421192119e-13,0
2000577812626_Node0_Node8_Zero,2000.577813,2000.583596,0,,32,7.572525408e-13,0
2000581913422_Node0_Node8_Zero,2000.581913,2000.589327,0,,121,7.572525408e-13,0
2000586012759_Node0_Node8_Zero,2000.586013,2000.589327,0,,89,7.572525408e-13,0
2000590110659_Node0_Node8_Zero,2000.590111,2000.592331,0,,61,8.2283073705e-13,0
2000594210095_Node0_Node8_Zero,2000.59421,2000.596269,0,,33,8.554732776926202e-13,0
2000598308271_Node0_Node8_Zero,2000.598308,2000.599175,0,,0,8.2283073705e-13,1.1658346e-13
2000602404930_Node0_Node8_Zero,2000.602405,2000.603352,0,,0,8.2283073705e-13,0
2000606499694_Node0_Node8_Zero,2000.6065,2000.607367,0,,0,7.572525408e-13,0
2000610595612_Node0_Node8_Zero,2000.610596,2000.611402,0,,0,8.527804421192119e-13,0
2000614690650_Node0_Node8_Zero,2000.614691,2000.615678,0,,0,7.572525408e-13,0
2000618788880_Node0_Node8_Zero,2000.618789,2000.622334,0,,90,8.2283073705e-13,0
2000622882766_Node0_Node8_Zero,2000.622883,2000.627246,0,,167,8.2283073705e-13,1.1658346e-13
2000626981220_Node0_Node8_Zero,2000.626981,2000.632448,0,,0,7.572525408e-13,0
2000631081015_Node0_Node8_Zero,2000.631081,2000.632448,0,,0,7.572525408e-13,0
2000635176493_Node0_Node8_Zero,2000.635176,2000.640024,0,,89,8.527804421192119e-13,0
2000639270535_Node0_Node8_Zero,2000.639271,2000.640814,0,,0,8.527804421192119e-13,0
2000643373805_Node0_Node8_Zero,2000.643374,2000.647922,0,,89,7.572525408e-13,0
2000647472548_Node0_Node8_Zero,2000.647473,2000.655969,0,,48,7.572525408e-13,0
2000651568371_Node0_Node8_Zero,2000.651568,2000.655969,0,,48,7.572525408e-13,0
2000655671186_Node0_Node8_Zero,2000.655671,2000.671922,0,,149,8.2283073705e-13,0
2000659774098_Node0_Node8_Zero,2000.659774,2000.671922,0,,149,8.2283073705e-13,0
2000663875029_Node0_Node8_Zero,2000.663875,2000.676558,0,,182,7.572525408e-13,0
2000667973810_Node0_Node8_Zero,2000.667974,2000.676558,0,,156,7.572525408e-13,0
2000672074333_Node0_Node8_Zero,2000.672074,2000.676558,0,,33,7.572525408e-13,0
2000676176492_Node0_Node8_Zero,2000.676176,2000.683791,0,,89,7.572525408e-13,0
2000680272574_Node0_Node8_Zero,2000.680273,2000.683791,0,,89,7.572525408e-13,0
2000684368460_Node0_Node8_Zero,2000.684368,2000.686605,0,,0,7.572525408e-13,0
2000688465268_Node0_Node8_Zero,2000.688465,2000.69127,0,,89,8.57015277711641e-13,1.7735597673180627e-13
2000692560360_Node0_Node8_Zero,2000.69256,2000.694653,0,,63,7.572525408e-13,0
2000696656319_Node0_Node8_Zero,2000.696656,2000.697683,0,,0,7.87542642432e-13,0
2000700754985_Node0_Node8_Zero,2000.700755,2000.70215,0,,0,8.567982028227507e-13,1.769700658182235e-13
2000704852246_Node0_Node8_Zero,2000.704852,2000.708027,0,,18,8.2283073705e-13,0
2000708952221_Node0_Node8_Zero,2000.708952,2000.709779,0,,0,7.782873336e-13,3.0290101632e-14
2000713053432_Node0_Node8_Zero,2000.713053,2000.71402,0,,0,8.2283073705e-13,0
2000717151799_Node0_Node8_Zero,2000.717152,2000.718099,0,,0,8.626760184e-13,0
2000721253826_Node0_Node8_Zero,2000.721254,2000.722061,0,,0,8.626760184e-13,0
2000725350409_Node0_Node8_Zero,2000.72535,2000.729253,0,,147,8.626760184e-13,0
2000729452308_Node0_Node8_Zero,2000.729452,2000.730339,0,,0,8.626760184e-13,1.6472418375000002e-13
2000733553299_Node0_Node8_Zero,2000.733553,2000.73605,0,,0,6.557819625e-14,1.1658346e-13
2000737652145_Node0_Node8_Zero,2000.737652,2000.738439,0,,0,8.626760184e-13,0
2000741752939_Node0_Node8_Zero,2000.741753,2000.752577,0,,157,8.2283073705e-13,1.1658346e-13
2000745852437_Node0_Node8_Zero,2000.745852,2000.757016,0,,178,1.0542347760000001e-13,0
2000749951433_Node0_Node8_Zero,2000.749951,2000.757016,0,,174,1.0542347760000001e-13,0
2000754046635_Node0_Node8_Zero,2000.754047,2000.757866,0,,23,7.572525408e-13,0
2000758146127_Node0_Node8_Zero,2000.758146,2000.761264,0,,0,7.782873336e-13,0
2000762241169_Node0_Node8_Zero,2000.762241,2000.766335,0,,89,1.0542347760000001e-13,0
2000766335299_Node0_Node8_Zero,2000.766335,2000.771003,0,,178,8.2283073705e-13,0
2000770436412_Node0_Node8_Zero,2000.770436,2000.776161,0,,0,8.626760184e-13,0
2000774531070_Node0_Node8_Zero,2000.774531,2000.776161,0,,0,8.626760184e-13,0
2000778627026_Node0_Node8_Zero,2000.778627,2000.781666,0,,0,8.626760184e-13,0
2000782728060_Node0_Node8_Zero,2000.782728,2000.783949,0,,0,8.2283073705e-13,0
2000786830487_Node0_Node8_Zero,2000.78683,2000.788051,0,,0,8.2283073705e-13,0
2000790932311_Node0_Node8_Zero,2000.790932,2000.805086,0,,239,8.626760184e-13,0
2000795032273_Node0_Node8_Zero,2000.795032,2000.81036,0,,289,7.782873336e-13,0
2000799135169_Node0_Node8_Zero,2000.799135,2000.81036,0,,188,7.782873336e-13,0
2000803234893_Node0_Node8_Zero,2000.803235,2000.811547,0,,77,8.153216946821157e-13,0
2000807337355_Node0_Node8_Zero,2000.807337,2000.815777,0,,52,8.745630227345027e-14,1.5547787070835605e-13
2000811433237_Node0_Node8_Zero,2000.811433,2000.815777,0,,2,8.745630227345027e-14,1.5547787070835605e-13
2000815532147_Node0_Node8_Zero,2000.815532,2000.821156,0,,0,8.153216946821157e-13,0
2000819629515_Node0_Node8_Zero,2000.81963,2000.821156,0,,0,8.153216946821157e-13,0
2000823724451_Node0_Node8_Zero,2000.823724,2000.825539,0,,37,7.572525408e-13,0
2000827824153_Node0_Node8_Zero,2000.827824,2000.828851,0,,0,1.0488265982938404e-13,1.8645806191890498e-13
2000831918410_Node0_Node8_Zero,2000.831918,2000.832725,0,,0,8.2283073705e-13,0
2000836018114_Node0_Node8_Zero,2000.836018,2000.836965,0,,0,8.62135200629384e-13,0
2000840118631_Node0_Node8_Zero,2000.840119,2000.842205,0,,0,8.08946189077089e-13,0
2000844221485_Node0_Node8_Zero,2000.844221,2000.846005,0,,0,8.2283073705e-13,0
2000848321610_Node0_Node8_Zero,2000.848322,2000.849328,0,,0,8.2283073705e-13,1.1658346e-13
2000852422536_Node0_Node8_Zero,2000.852423,2000.85439,0,,0,8.62135200629384e-13,1.8645806191890498e-13
2000856519664_Node0_Node8_Zero,2000.85652,2000.857367,0,,0,8.62135200629384e-13,0
2000860613948_Node0_Node8_Zero,2000.860614,2000.864914,0,,163,7.572525408e-13,0
2000864711520_Node0_Node8_Zero,2000.864712,2000.870656,0,,0,1.0488265982938404e-13,1.8645806191890498e-13
2000868811609_Node0_Node8_Zero,2000.868812,2000.870656,0,,0,1.0488265982938404e-13,1.8645806191890498e-13
2000872905202_Node0_Node8_Zero,2000.872905,2000.873692,0,,0,8.62135200629384e-13,0
2000877004504_Node0_Node8_Zero,2000.877005,2000.877891,0,,0,6.557819625e-14,1.1658346e-13
2000881104001_Node0_Node8_Zero,2000.881104,2000.882051,0,,0,7.572525408e-13,0
2000885197517_Node0_Node8_Zero,2000.885198,2000.886064,0,,0,8.08946189077089e-13,0
2000889298229_Node0_Node8_Zero,2000.889298,2000.890225,0,,0,8.62135200629384e-13,1.8645806191890498e-13
2000893396919_Node0_Node8_Zero,2000.893397,2000.894144,0,,0,7.572525408e-13,0
2000897494450_Node0_Node8_Zero,2000.897494,2000.900954,0,,0,6.557819625e-14,0
2000901597733_Node0_Node8_Zero,2000.901598,2000.903964,0,,68,8.501611869223467e-13,0
2000905691686_Node0_Node8_Zero,2000.905692,2000.907467,0,,47,8.153216946821157e-13,0
2000909789263_Node0_Node8_Zero,2000.909789,2000.911441,0,,0,7.992225864e-13,0
2000913887667_Node0_Node8_Zero,2000.913888,2000.915419,0,,0,7.992225864e-13,6.557819625e-14
2000917985985_Node0_Node8_Zero,2000.917986,2000.919618,0,,33,9.290864612234672e-14,1.4516975956616673e-13
2000922086789_Node0_Node8_Zero,2000.922087,2000.924555,0,,0,7.782873336e-13,3.0290101632e-14
2000926184787_Node0_Node8_Zero,2000.926185,2000.927212,0,,0,5.4485585481125966e-14,8.513372731425933e-14
2000930284537_Node0_Node8_Zero,2000.930285,2000.931091,0,,0,6.557819625e-14,1.1658346e-13
2000934382501_Node0_Node8_Zero,2000.934383,2000.936039,0,,33,8.2283073705e-13,1.1658346e-13
2000938482756_Node0_Node8_Zero,2000.938483,2000.940083,0,,39,7.572525408e-13,0
2000942576641_Node0_Node8_Zero,2000.942577,2000.94485,0,,0,8.117381262811259e-13,0
2000946673330_Node0_Node8_Zero,2000.946673,2000.948953,0,,0,9.290864612234672e-14,0
2000950773486_Node0_Node8_Zero,2000.950773,2000.9517,0,,0,7.572525408e-13,0
2000954871104_Node0_Node8_Zero,2000.954871,2000.955738,0,,0,7.572525408e-13,0
2000958968021_Node0_Node8_Zero,2000.958968,2000.959952,0,,0,8.62135200629384e-13,0
2000963068827_Node0_Node8_Zero,2000.963069,2000.963876,0,,0,7.572525408e-13,0
2000967165266_Node0_Node8_Zero,2000.967165,2000.968225,0,,9,7.572525408e-13,0
2000971262183_Node0_Node8_Zero,2000.971262,2000.972741,0,,27,8.2283073705e-13,0
2000975355970_Node0_Node8_Zero,2000.975356,2000.976713,0,,27,8.153216946821157e-13,0
2000979453971_Node0_Node8_Zero,2000.979454,2000.981675,0,,57,6.557819625e-14,1.1658346e-13
2000983553637_Node0_Node8_Zero,2000.983554,2000.984518,0,,8,8.2283073705e-13,1.1658346e-13
2000987648509_Node0_Node8_Zero,2000.987649,2000.989078,0,,32,7.572525408e-13,0
2000991742817_Node0_Node8_Zero,2000.991743,2000.99336,0,,34,6.384815162345027e-14,9.976273691164103e-14
2000995843974_Node0_Node8_Zero,2000.995844,2000.998516,0,,89,1.0488265982938404e-13,0
2000999941020_Node0_Node8_Zero,2000.999941,2001.004361,0,,167,7.992225864e-13,0
2001004038203_Node0_Node8_Zero,2001.004038,2001.009799,0,,0,8.548877564972523e-13,0
2001008139204_Node0_Node8_Zero,2001.008139,2001.009799,0,,0,8.548877564972523e-13,0
2001012232702_Node0_Node8_Zero,2001.012233,2001.014176,0,,51,1.5454133485714285e-14,0
