Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,20,32982,8,8,0,0,33002,40978,0,0,75,96,20483,0,10,0,0
Node1,11,18,61,107,46663,57775,29,51,46663,57763,57,92,20603,0,4,0,0
Node2,10,18,11,27,65,100,28,42,65,100,45,88,0,0,6,0,0
Node3,8,29,12,28,54,97,37,55,54,97,31,84,0,0,7,0,0
Node4,66,242,25,45,45,98,308,616,45,98,0,0,0,0,88,0,0
Node5,0,14,50,106,229,453,14,28,229,422,27,81,0,0,4,0,0
Node6,16,340,41,49,34,95,356,579,34,95,0,0,2,0,81,0,0
Node7,15,104,12,28,356,582,119,168,356,579,19,56,0,0,24,0,0
Node8,0,0,17,26,121,196,0,0,121,193,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
