Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000008195690_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.008196,2000.008266,inf,0,7,2343.0,0.007663753805745297,0.007663753805745297,2.396369,inf,33,33
2000016397037_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.016397,2000.032944,inf,1,7,3483.5,"0.02667338616052565,0.007663753805745297",0.017169,2.396369,inf,33,33
2000024594458_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.024594,2000.032944,inf,1,7,3483.5,"0.02667338616052565,0.007663753805745297",0.017169,2.396369,inf,33,33
2000032793798_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.032794,2000.032944,inf,1,7,3483.5,"0.02667338616052565,0.007663753805745297",0.017169,2.396369,inf,33,33
2000040988557_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.040989,2000.041341,inf,2,7,2343.0,"0.02667338616052565,0.02667338616052565,0.007663753805745297",0.020337,2.396369,inf,33,33
2000049188875_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.049189,2000.049479,inf,2,7,2343.0,"0.02667338616052565,0.02667338616052565,0.007663753805745297",0.020337,2.396369,inf,33,33
2000057386382_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.057386,2000.057676,inf,2,7,2343.0,"0.02667338616052565,0.02667338616052565,0.007663753805745297",0.020337,2.396369,inf,33,33
2000065582685_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.065583,2000.065653,inf,3,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.021921,2.396369,inf,33,33
2000073777485_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.073777,2000.074127,inf,3,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.021921,2.396369,inf,33,33
2000081969293_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.081969,2000.084436,inf,3,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.021921,2.396369,inf,33,33
2000090163359_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.090163,2000.090493,inf,4,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.022871,2.396369,inf,33,33
2000098356826_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.098357,2000.100008,inf,4,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.022871,2.396369,inf,33,33
2000106549924_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.10655,2000.10674,inf,4,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.022871,2.396369,inf,33,33
2000114751214_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.114751,2000.116541,inf,5,11,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.023505,2.396369,inf,33,33
2000122945266_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.122945,2000.131473,inf,5,7,2327.5,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.023505,2.396369,inf,33,33
2000131142995_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.131143,2000.131473,inf,5,7,2327.5,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.023505,2.396369,inf,33,33
2000139340303_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.13934,2000.13947,inf,6,10,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.023958,2.396369,inf,33,33
2000147541308_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.147541,2000.147591,inf,6,8,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.023958,2.396369,inf,33,33
2000155737790_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.155738,2000.157878,inf,6,12,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.007663753805745297",0.023958,2.396369,inf,33,33
2000163931896_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.163932,2000.165533,inf,7,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03285306515228533,0.03121355848100215,0.007663753805745297",0.025637,2.396369,inf,33,33
2000172127626_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.172128,2000.172438,inf,7,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03285306515228533,0.03121355848100215,0.007663753805745297",0.025637,2.396369,inf,33,33
2000180323661_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.180324,2000.180414,inf,7,10,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03285306515228533,0.03121355848100215,0.007663753805745297",0.025637,2.396369,inf,33,33
2000188525368_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.188525,2000.188855,0.462864,7,6,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.02667338616052565",0.027562,1.398443,8.340465,22,33
2000196722048_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.196722,2000.196872,0.454667,7,6,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.02667338616052565",0.027562,1.398443,8.340465,22,33
2000204918668_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.204919,2000.204969,0.420074,7,4,2343.0,"0.03377552731446292,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.010618917711206962",0.026442,1.243757,3.320415,22,33
2000213117677_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.213118,2000.213208,0.411875,7,5,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03377552731446292,0.035572123908659596,0.0337786145229021,0.010618917711206962",0.027555,1.243757,3.320415,22,33
2000221318115_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.221318,2000.221448,0.42548,7,11,2343.0,"0.03377552731446292,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03377552731446292,0.035572123908659596,0.0337786145229021,0.010618917711206962",0.028443,3.320415,3.320415,22,33
2000229511590_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.229512,2000.229562,0.417286,7,6,2343.0,"0.030668340559615363,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.035572123908659596,0.0337786145229021,0.010618917711206962",0.027166,3.320415,3.320415,22,33
2000237709730_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.23771,2000.23806,0.512434,7,7,2343.0,"0.030668340559615363,0.03377552731446292,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.035572123908659596,0.03344541674948007,0.013447573767297386",0.028366,1.243757,4.204904,22,33
2000245905276_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.245905,2000.246035,0.504239,7,7,2343.0,"0.02667338616052565,0.03377552731446292,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.035572123908659596,0.03344541674948007,0.013447573767297386",0.027867,1.243757,4.204904,22,33
2000254098879_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.254099,2000.254409,0.432994,7,6,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.035572123908659596,0.03344541674948007,0.010618917711206962",0.026625,1.243757,3.320415,22,33
2000262291769_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.262292,2000.262582,0.424801,7,6,2343.0,"0.030668340559615363,0.03377552731446292,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.03121355848100215,0.010618917711206962",0.027509,1.243757,3.320415,22,33
2000270484450_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.270484,2000.270754,0.434815,7,6,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.03121355848100215,0.010618917711206962",0.026122,1.243757,3.320415,22,33
2000278686066_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.278686,2000.278836,0.426613,7,6,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.03121355848100215,0.010618917711206962",0.026122,1.243757,3.320415,22,33
2000286885239_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.286885,2000.287095,0.658738,7,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.03690491500234774,0.010618917711206962",0.026834,1.243757,3.320415,22,33
2000295080767_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.295081,2000.295391,0.650542,7,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.03690491500234774,0.010618917711206962",0.026834,1.243757,3.320415,22,33
2000303277216_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.303277,2000.303407,0.489143,7,11,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03690491500234774,0.010618917711206962",0.025946,3.320415,3.320415,22,33
2000311470579_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.311471,2000.312167,0.480949,7,13,2343.0,"0.030668340559615363,0.030668340559615363,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.0337786145229021,0.03690491500234774,0.010618917711206962",0.027832,3.320415,3.320415,22,33
2000319669707_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.31967,2000.35261,0.69727,7,7,3483.5,"0.02667338616052565,0.030668340559615363,0.03377552731446292,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03344541674948007,0.010618917711206962",0.0269,3.320415,3.320415,22,33
2000327870796_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.327871,2000.35261,0.689069,7,13,3483.5,"0.02667338616052565,0.030668340559615363,0.030668340559615363,0.03377552731446292,0.02667338616052565,0.03570554265875067,0.02667338616052565,0.010618917711206962",0.027682,1.392239,3.320415,22,33
2000336065160_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.336065,2000.35261,0.261943,7,11,3483.5,"0.02667338616052565,0.030668340559615363,0.030668340559615363,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03690491500234774,0.010618917711206962",0.026944,1.392239,3.320415,22,33
2000344259632_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.34426,2000.35452,0.278461,7,13,2327.5,"0.02667338616052565,0.029230156975943066,0.030668340559615363,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03690491500234774,0.010618917711206962",0.026764,1.076269,3.320415,22,33
2000352460455_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.35246,2000.35452,0.245548,7,10,2327.5,"0.02667338616052565,0.029230156975943066,0.02667338616052565,0.03377552731446292,0.02667338616052565,0.02667338616052565,0.03690491500234774,0.010618917711206962",0.027153,3.320415,3.320415,22,33
2000360657406_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.360657,2000.364026,0.262064,7,7,2343.0,"0.02667338616052565,0.029230156975943066,0.030668340559615363,0.02667338616052565,0.035572123908659596,0.02667338616052565,0.02667338616052565,0.010618917711206962",0.026598,1.076269,3.320415,22,33
2000368850813_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.368851,2000.370845,0.52552,7,7,2343.0,"0.037942560247595916,0.029230156975943066,0.030668340559615363,0.02667338616052565,0.035572123908659596,0.02667338616052565,0.02667338616052565,0.013589656637463445",0.028378,4.249331,4.249331,22,33
2000377052323_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.377052,2000.377321,0.517319,7,7,2343.0,"0.0389855522367279,0.029230156975943066,0.030668340559615363,0.02667338616052565,0.035572123908659596,0.02667338616052565,0.02667338616052565,0.013589656637463445",0.028508,4.249331,4.249331,22,33
2000385244413_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.385244,2000.385334,0.447157,7,9,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.036074402423660765,0.02667338616052565,0.010618917711206962",0.025842,1.243757,3.320415,22,33
2000393438285_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.393438,2000.393508,0.438963,7,12,2343.0,"0.02667338616052565,0.029230156975943066,0.030668340559615363,0.02667338616052565,0.035572123908659596,0.02667338616052565,0.03121355848100215,0.010618917711206962",0.027165,1.243757,3.320415,22,33
2000401635474_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.401635,2000.403456,0.23481,7,6,2343.0,"0.04057766389198493,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.035572123908659596,0.02667338616052565,0.03121355848100215,0.010618917711206962",0.028084,0.888864,3.320415,22,33
2000409829172_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.409829,2000.410145,0.226616,7,8,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.035572123908659596,0.02667338616052565,0.03121355848100215,0.010618917711206962",0.026346,0.888864,3.320415,22,33
2000418022273_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.418022,2000.419983,0.439504,7,11,2343.0,"0.035572123908659596,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.034914721005965606,0.02667338616052565,0.011138241039633569",0.026874,0.888864,3.482802,22,33
2000426219281_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.426219,2000.427072,0.431307,7,7,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.011138241039633569",0.024731,0.888864,3.482802,22,33
2000434413885_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.434414,2000.434504,0.137441,7,8,2343.0,"0.02667338616052565,0.02667338616052565,0.02667338616052565,0.03377552731446292,0.035572123908659596,0.03285306515228533,0.03285306515228533,0.020749309639727476",0.029478,3.320415,6.488074,22,33
2000442612879_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.442613,2000.442943,0.129242,7,6,2343.0,"0.035572123908659596,0.029230156975943066,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.020749309639727476",0.027365,3.320415,6.488074,22,33
2000450810955_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.450811,2000.450921,inf,4,7,2343.0,"0.03763377976233987,0.02667338616052565,0.02667338616052565,0.02667338616052565,0.02667338616052565",0.028865,4.066088,inf,33,33
