Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2001.1-2002.1,183,66,0.36065573770491804,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2002.1-2003.1,183,6,0.03278688524590164,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2003.1-2004.1,183,32,0.17486338797814208,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2004.1-2005.1,139,5,0.03597122302158273,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2005.1-2006.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2006.1-2007.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2007.1-2008.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2008.1-2009.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2009.1-2010.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2010.1-2011.1,184,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2011.1-2012.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2012.1-2013.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2013.1-2014.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2014.1-2015.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2015.1-2016.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2016.1-2017.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2017.1-2018.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2018.1-2019.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2019.1-2020.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2020.1-2021.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2021.1-2022.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2022.1-2023.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2023.1-2024.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2024.1-2025.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2025.1-2026.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2026.1-2027.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2027.1-2028.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2028.1-2029.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2029.1-2030.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2030.1-2031.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2031.1-2032.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
2032.1-2033.1,183,0,0.0,Flow_Node0-Node8,/home/pathey/Workspace/665/665-copy-project-7/Results/phase3_daisy_1000m_mcs_adaptive_3Mbps_0.9inc_1.3dec/Flow_Node0-Node8.csv
