Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,1137,29205,96,96,0,0,30342,47130,0,0,168,189,16647,0,52,0,0
Node1,801,1344,775,1373,36863,56565,2145,3917,36863,56093,79,115,15670,0,36,0,0
Node2,233,816,605,866,1353,2526,1049,1597,1353,2181,93,151,1052,0,27,0,0
Node3,123,888,433,561,951,1550,1011,1539,951,1339,41,70,643,0,105,0,0
Node4,137,860,511,662,834,1256,997,1507,834,1117,1,3,448,0,80,0,0
Node5,87,564,409,547,764,1094,651,865,764,1025,23,64,300,0,25,0,0
Node6,31,860,161,191,716,896,891,1186,716,866,0,0,250,0,76,0,0
Node7,18,597,133,179,968,1261,615,743,968,1243,24,60,197,0,26,0,0
Node8,0,0,21,33,764,933,0,0,764,919,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
