Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000005463450_Node0_Node8_Zero,2000.011311,2000.01334,0,,0,1.183207095e-12,0
2000010932556_Node0_Node8_Zero,2000.019318,2000.021367,0,,0,1.241637075e-12,3.286686375000001e-14
2000016399921_Node0_Node8_Zero,2000.026708,2000.028718,0,,0,8.52673250027394e-14,4.796287031404091e-14
2000021863889_Node0_Node8_Zero,2000.033316,2000.035346,0,,0,1.265946064766775e-12,0
2000027328719_Node0_Node8_Zero,2000.039543,2000.041473,0,,0,1.183207095e-12,0
2000032796908_Node0_Node8_Zero,2000.051456,2000.053446,0,,0,1.183207095e-12,0
2000038258828_Node0_Node8_Zero,2000.055523,2000.057553,0,,0,1.183207095e-12,0
2000043727750_Node0_Node8_Zero,2000.065173,2000.067203,0,,0,1.241637075e-12,0
2000049193718_Node0_Node8_Zero,2000.07911,2000.08108,0,,0,1.183207095e-12,0
2000054659916_Node0_Node8_Zero,2000.083157,2000.085347,0,,0,1.241637075e-12,0
2000060125781_Node0_Node8_Zero,2000.095978,2000.097908,0,,0,1.183207095e-12,0
2000065589909_Node0_Node8_Zero,2000.099824,2000.101814,0,,0,1.183207095e-12,0
2000071059068_Node0_Node8_Zero,2000.112598,2000.116523,0,,0,1.241637075e-12,0
2000076527946_Node0_Node8_Zero,2000.114568,2000.118393,0,,0,1.183207095e-12,0
2000081990214_Node0_Node8_Zero,2000.12922,2000.1371,0,,0,1.183207095e-12,0
2000087455000_Node0_Node8_Zero,2000.140867,2000.142976,0,,0,5.842998000000001e-14,3.286686375000001e-14
2000092923214_Node0_Node8_Zero,2000.145954,2000.147904,0,,0,1.183207095e-12,0
2000098388469_Node0_Node8_Zero,2000.153153,2000.155083,0,,0,1.241637075e-12,0
2000103855351_Node0_Node8_Zero,2000.158931,2000.161021,0,,0,1.265946064766775e-12,0
2000109317830_Node0_Node8_Zero,2000.165542,2000.167692,0,,0,1.31467455e-12,0
2000114786898_Node0_Node8_Zero,2000.171896,2000.181496,0,,0,1.183207095e-12,0
2000120250723_Node0_Node8_Zero,2000.179585,2000.183426,0,,0,1.183207095e-12,0
2000125713066_Node0_Node8_Zero,2000.185528,2000.189593,0,,0,1.183207095e-12,0
2000131178551_Node0_Node8_Zero,2000.187638,2000.191683,0,,0,1.183207095e-12,0
2000136641426_Node0_Node8_Zero,2000.198264,2000.200174,0,,0,5.842998000000001e-14,0
2000142110388_Node0_Node8_Zero,2000.212215,2000.21789,0,,0,1.183207095e-12,0
2000147575073_Node0_Node8_Zero,2000.214085,2000.221834,0,,0,1.183207095e-12,0
2000153037960_Node0_Node8_Zero,2000.215975,2000.223864,0,,0,1.183207095e-12,0
2000158501928_Node0_Node8_Zero,2000.219841,2000.225814,0,,0,1.183207095e-12,0
2000163969828_Node0_Node8_Zero,2000.250018,2000.254044,0,,0,1.183207095e-12,0
2000169438717_Node0_Node8_Zero,2000.262229,2000.266214,0,,0,1.183207095e-12,0
2000174898601_Node0_Node8_Zero,2000.264139,2000.270138,0,,0,1.183207095e-12,0
2000180360723_Node0_Node8_Zero,2000.268085,2000.272228,0,,0,1.265946064766775e-12,4.654067049381095e-14
2000185824583_Node0_Node8_Zero,2000.286485,2000.292447,0,,0,1.31467455e-12,0
2000191288182_Node0_Node8_Zero,2000.29033,2000.300234,0,,0,1.183207095e-12,0
2000196749243_Node0_Node8_Zero,2000.294313,2000.302104,0,,0,1.2684744200027395e-12,0
2000202209247_Node0_Node8_Zero,2000.298267,2000.304254,0,,0,1.265946064766775e-12,4.654067049381095e-14
2000207675939_Node0_Node8_Zero,2000.317033,2000.318963,0,,0,1.241637075e-12,0
2000213141392_Node0_Node8_Zero,2000.326794,2000.328744,0,,0,1.31467455e-12,0
2000218604640_Node0_Node8_Zero,2000.330741,2000.33275,0,,0,1.183207095e-12,0
2000224068300_Node0_Node8_Zero,2000.334687,2000.336717,0,,0,1.183207095e-12,0
2000229531050_Node0_Node8_Zero,2000.361843,2000.373472,0,,0,1.183207095e-12,0
2000234990854_Node0_Node8_Zero,2000.365677,2000.375442,0,,0,1.183207095e-12,0
2000240453992_Node0_Node8_Zero,2000.371459,2000.377452,0,,0,1.183207095e-12,0
2000245913931_Node0_Node8_Zero,2000.382898,2000.384848,0,,0,1.241637075e-12,0
2000251373705_Node0_Node8_Zero,2000.402587,2000.408447,0,,0,1.183207095e-12,0
2000256839591_Node0_Node8_Zero,2000.404557,2000.412334,0,,0,1.183207095e-12,0
2000262299680_Node0_Node8_Zero,2000.406447,2000.414304,0,,0,1.183207095e-12,0
2000267763670_Node0_Node8_Zero,2000.416481,2000.418631,0,,0,8.273896976677502e-14,4.654067049381095e-14
2000273228877_Node0_Node8_Zero,2000.427139,2000.429209,0,,0,1.183207095e-12,0
2000278691577_Node0_Node8_Zero,2000.432376,2000.440212,0,,0,1.31467455e-12,0
2000284155249_Node0_Node8_Zero,2000.434266,2000.442222,0,,0,1.183207095e-12,0
2000289622565_Node0_Node8_Zero,2000.438271,2000.444392,0,,0,1.183207095e-12,0
2000295084024_Node0_Node8_Zero,2000.448654,2000.450704,0,,0,1.183207095e-12,0
2000300545934_Node0_Node8_Zero,2000.457328,2000.46323,0,,0,1.183207095e-12,0
2000306007396_Node0_Node8_Zero,2000.461253,2000.4651,0,,0,1.183207095e-12,0
2000311476607_Node0_Node8_Zero,2000.468057,2000.469987,0,,0,1.183207095e-12,0
2000316940049_Node0_Node8_Zero,2000.503553,2000.505483,0,,0,1.183207095e-12,0
2000322400233_Node0_Node8_Zero,2000.507428,2000.515174,0,,0,5.842998000000001e-14,0
2000327867968_Node0_Node8_Zero,2000.517548,2000.519558,0,,0,8.52673250027394e-14,4.796287031404091e-14
2000333332139_Node0_Node8_Zero,2000.522633,2000.526498,0,,0,1.183207095e-12,4.654067049381095e-14
2000338794430_Node0_Node8_Zero,2000.524563,2000.528388,0,,0,1.183207095e-12,4.654067049381095e-14
2000344259265_Node0_Node8_Zero,2000.535074,2000.537044,0,,0,1.183207095e-12,0
2000349727386_Node0_Node8_Zero,2000.538915,2000.540905,0,,0,1.183207095e-12,0
2000355188687_Node0_Node8_Zero,2000.548823,2000.558552,0,,0,1.183207095e-12,0
2000360650898_Node0_Node8_Zero,2000.556593,2000.564373,0,,0,1.183207095e-12,0
2000366119215_Node0_Node8_Zero,2000.562434,2000.566403,0,,0,1.183207095e-12,0
