Experiment,Run No,Packets Generated,Packets Received,PDR,Avg Delay,#Retransmissions,#Forwards,Avg Route Length,%Route Uptime,%HQ Route Uptime,Route Switches,Packet Drop (Expiry),Packet Drop (Queue Management),Packet Drop (Retry),Packet Drop (Overflow),Packet Drop (No Route),Packet Reinserted (TCP)
500m_mcs0_1Mbps,1.0,611.0,611.0,1.0,0.0080693944353518,0.0,2444.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500m_mcs0_2Mbps,1.0,1221.0,1221.0,1.0,0.0080691891891891,0.0,4884.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500m_mcs0_3Mbps,1.0,1830.0,1354.0,0.7398907103825136,1.9256302200886264,3714.0,6644.0,4.0,1.0,1.0,0.0,469.0,0.0,7.0,0.0,0.0,0.0
500m_mcs1_1Mbps,1.0,610.0,603.0,0.9885245901639343,0.0054645223880597,53.0,2424.0,4.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
500m_mcs1_2Mbps,1.0,1221.0,1214.0,0.9942669942669944,0.0067706466227347,81.0,4868.0,4.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
500m_mcs1_3Mbps,1.0,1831.0,1823.0,0.9956308028399782,0.0091649029072956,160.0,7304.0,4.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
500m_mcs_adaptive_1Mbps,1.0,610.0,413.0,0.6770491803278689,2.6694422300242127,5989.0,1247.0,4.0,1.0,1.0,0.0,546.0,0.0,431.0,0.0,0.0,0.0
500m_mcs_adaptive_2Mbps,1.0,1220.0,386.0,0.3163934426229508,2.1418702383419688,5306.0,1531.0,4.0,1.0,1.0,0.0,1407.0,0.0,237.0,0.0,0.0,0.0
500m_mcs_adaptive_3Mbps,1.0,1831.0,689.0,0.3762971054068815,1.9164377460087083,6631.0,4185.0,4.0,1.0,1.0,0.0,1856.0,0.0,355.0,0.0,0.0,0.0
1000m_mcs0_1Mbps,1.0,610.0,610.0,1.0,0.0161670934426229,0.0,4880.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000m_mcs0_2Mbps,1.0,1221.0,1221.0,1.0,0.0162007248157248,16.0,9768.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000m_mcs0_3Mbps,1.0,1830.0,575.0,0.314207650273224,1.5529023530434782,4256.0,9627.0,8.0,1.0,1.0,0.0,1220.0,0.0,36.0,0.0,0.0,0.0
1000m_mcs1_1Mbps,1.0,611.0,596.0,0.9754500818330606,0.0160887533557046,137.0,4824.0,8.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
1000m_mcs1_2Mbps,1.0,1220.0,1203.0,0.9860655737704918,0.028248055694098,326.0,9686.0,8.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
1000m_mcs1_3Mbps,1.0,1831.0,1769.0,0.9661387220098306,0.8676814539287733,5747.0,14251.0,8.0,1.0,1.0,0.0,2.0,0.0,62.0,0.0,0.0,0.0
1000m_mcs_adaptive_1Mbps,1.0,610.0,276.0,0.4524590163934426,2.6439166195652177,9268.0,2182.0,8.0,1.0,1.0,0.0,722.0,0.0,821.0,0.0,0.0,0.0
1000m_mcs_adaptive_2Mbps,1.0,1220.0,190.0,0.1557377049180328,2.806549589473684,7287.0,2695.0,8.0,1.0,1.0,0.0,1641.0,0.0,338.0,0.0,0.0,0.0
1000m_mcs_adaptive_3Mbps,1.0,1831.0,14.0,0.0076460950300382,0.5884991428571429,4944.0,307.0,8.0,1.0,1.0,0.0,2974.0,0.0,114.0,0.0,0.0,0.0
1200m_mcs0_1Mbps,1.0,610.0,610.0,1.0,0.0161839655737704,0.0,4880.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200m_mcs0_2Mbps,1.0,1220.0,1220.0,1.0,0.0163241057377049,49.0,9760.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200m_mcs0_3Mbps,1.0,1831.0,665.0,0.3631895139268159,1.593540660150376,4878.0,10109.0,8.0,1.0,1.0,0.0,1125.0,0.0,41.0,0.0,0.0,0.0
1200m_mcs1_1Mbps,1.0,610.0,595.0,0.9754098360655736,0.0120789882352941,116.0,4816.0,8.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
1200m_mcs1_2Mbps,1.0,1220.0,1203.0,0.9860655737704918,0.029165604322527,309.0,9686.0,8.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
1200m_mcs1_3Mbps,1.0,1830.0,1760.0,0.9617486338797814,0.8830785613636363,5524.0,14161.0,8.0,1.0,1.0,0.0,15.0,0.0,57.0,0.0,0.0,0.0
1200m_mcs_adaptive_1Mbps,1.0,610.0,589.0,0.9655737704918032,0.0078543361629881,173.0,4795.0,8.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
1200m_mcs_adaptive_2Mbps,1.0,1220.0,1198.0,0.981967213114754,0.0146868288814691,237.0,9668.0,8.0,1.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
1200m_mcs_adaptive_3Mbps,1.0,1831.0,1804.0,0.9852539595849262,0.0644830853658536,4080.0,14524.0,8.0,1.0,1.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0
