Experiment,Run No,Packets Generated,Packets Received,PDR,Avg Delay,#Retransmissions,#Forwards,Avg Route Length,%Route Uptime,%HQ Route Uptime,Route Switches,Packet Drop (Expiry),Packet Drop (Queue Management),Packet Drop (Retry),Packet Drop (Overflow),Packet Drop (No Route),Packet Reinserted (TCP)
500m_mcs0_1Mbps,1.0,611.0,611.0,1.0,0.0100974533551554,0.0,3055.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500m_mcs0_2Mbps,1.0,1221.0,1221.0,1.0,0.0100913579033579,0.0,6105.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500m_mcs0_3Mbps,1.0,1831.0,1076.0,0.5876570180229382,1.979322867100372,1777.0,7832.0,5.0,1.0,1.0,0.0,755.0,0.0,0.0,0.0,0.0,0.0
500m_mcs1_1Mbps,1.0,610.0,603.0,0.9885245901639343,0.0071319021558872,56.0,3034.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
500m_mcs1_2Mbps,1.0,1221.0,1214.0,0.9942669942669944,0.0091416268533772,99.0,6089.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
500m_mcs1_3Mbps,1.0,1830.0,1822.0,0.9956284153005464,0.0192122749725576,436.0,9129.0,5.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
500m_mcs_adaptive_1Mbps,1.0,610.0,326.0,0.5344262295081967,3.172109503067484,6598.0,1492.0,5.0,1.0,1.0,0.0,793.0,0.0,414.0,0.0,0.0,0.0
500m_mcs_adaptive_2Mbps,1.0,1221.0,278.0,0.2276822276822276,2.8416806618705035,3138.0,2095.0,5.0,1.0,1.0,0.0,1400.0,0.0,119.0,0.0,0.0,0.0
500m_mcs_adaptive_3Mbps,1.0,1830.0,281.0,0.153551912568306,2.679456131672598,2845.0,2907.0,5.0,1.0,1.0,0.0,1934.0,0.0,128.0,0.0,0.0,0.0
1000m_mcs0_1Mbps,1.0,610.0,610.0,1.0,0.0161615311475409,0.0,4880.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000m_mcs0_2Mbps,1.0,1221.0,1221.0,1.0,0.0162049819819819,27.0,9768.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000m_mcs0_3Mbps,1.0,1830.0,642.0,0.3508196721311475,1.6732700685358255,4344.0,9759.0,8.0,1.0,1.0,0.0,1141.0,0.0,47.0,0.0,0.0,0.0
1000m_mcs1_1Mbps,1.0,610.0,595.0,0.9754098360655736,0.0101528352941176,137.0,4816.0,8.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
1000m_mcs1_2Mbps,1.0,1220.0,1204.0,0.9868852459016394,0.0299728862126245,314.0,9692.0,8.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
1000m_mcs1_3Mbps,1.0,1830.0,1668.0,0.9114754098360656,0.8502192344124699,5838.0,13752.0,8.0,1.0,1.0,0.0,114.0,0.0,50.0,0.0,0.0,0.0
1000m_mcs_adaptive_1Mbps,1.0,610.0,106.0,0.1737704918032787,2.616774613207548,5796.0,706.0,8.0,1.0,1.0,0.0,812.0,0.0,414.0,0.0,0.0,0.0
1000m_mcs_adaptive_2Mbps,1.0,1220.0,609.0,0.4991803278688524,2.6450334039408867,8793.0,7038.0,8.0,1.0,1.0,0.0,1127.0,0.0,555.0,0.0,0.0,0.0
1000m_mcs_adaptive_3Mbps,1.0,1831.0,558.0,0.3047515019115238,2.7193146612903227,8936.0,8384.0,8.0,1.0,1.0,0.0,2093.0,0.0,461.0,0.0,0.0,0.0
1200m_mcs0_1Mbps,1.0,611.0,611.0,1.0,0.0161778019639934,0.0,4888.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200m_mcs0_2Mbps,1.0,1221.0,1221.0,1.0,0.0162188026208026,23.0,9768.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200m_mcs0_3Mbps,1.0,1831.0,783.0,0.4276351720371382,1.7028742171136655,4839.0,10032.0,8.0,1.0,1.0,0.0,1026.0,0.0,25.0,0.0,0.0,0.0
1200m_mcs1_1Mbps,1.0,610.0,595.0,0.9754098360655736,0.0118326201680672,131.0,4816.0,8.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
1200m_mcs1_2Mbps,1.0,1221.0,1205.0,0.9868959868959868,0.0267491062240663,318.0,9699.0,8.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
1200m_mcs1_3Mbps,1.0,1830.0,1780.0,0.9726775956284152,0.8936949730337078,6017.0,14303.0,8.0,1.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
1200m_mcs_adaptive_1Mbps,1.0,610.0,590.0,0.9672131147540984,0.0087195830508474,150.0,4801.0,8.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1200m_mcs_adaptive_2Mbps,1.0,1221.0,1200.0,0.9828009828009828,0.0151260649999999,246.0,9683.0,8.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
1200m_mcs_adaptive_3Mbps,1.0,1831.0,1807.0,0.9868924085199344,0.0566464892086331,3958.0,14543.0,8.0,1.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0
