Experiment,Run No,Packets Generated,Packets Received,PDR,Avg Delay,#Retransmissions,#Forwards,Avg Route Length,%Route Uptime,%HQ Route Uptime,Route Switches,Packet Drop (Expiry),Packet Drop (Queue Management),Packet Drop (Retry),Packet Drop (Overflow),Packet Drop (No Route),Packet Reinserted (TCP)
500m_1Mbps_adaptive_base,1.0,610.0,326.0,0.5344262295081967,3.172109503067484,6598.0,1492.0,5.0,1.0,1.0,0.0,793.0,0.0,414.0,0.0,0.0,0.0
500m_2Mbps_adaptive_base,1.0,1221.0,278.0,0.2276822276822276,2.8416806618705035,3138.0,2095.0,5.0,1.0,1.0,0.0,1400.0,0.0,119.0,0.0,0.0,0.0
500m_3Mbps_adaptive_base,1.0,1830.0,281.0,0.153551912568306,2.679456131672598,2845.0,2907.0,5.0,1.0,1.0,0.0,1934.0,0.0,128.0,0.0,0.0,0.0
1000m_1Mbps_adaptive_base,1.0,610.0,106.0,0.1737704918032787,2.616774613207548,5796.0,706.0,8.0,1.0,1.0,0.0,812.0,0.0,414.0,0.0,0.0,0.0
1000m_2Mbps_adaptive_base,1.0,1220.0,609.0,0.4991803278688524,2.6450334039408867,8793.0,7038.0,8.0,1.0,1.0,0.0,1127.0,0.0,555.0,0.0,0.0,0.0
1000m_3Mbps_adaptive_base,1.0,1831.0,558.0,0.3047515019115238,2.7193146612903227,8936.0,8384.0,8.0,1.0,1.0,0.0,2093.0,0.0,461.0,0.0,0.0,0.0
1200m_1Mbps_adaptive_base,1.0,610.0,590.0,0.9672131147540984,0.0087195830508474,150.0,4801.0,8.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1200m_2Mbps_adaptive_base,1.0,1221.0,1200.0,0.9828009828009828,0.0151260649999999,246.0,9683.0,8.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
1200m_3Mbps_adaptive_base,1.0,1831.0,1807.0,0.9868924085199344,0.0566464892086331,3958.0,14543.0,8.0,1.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0
500m_1Mbps_inc0.5_dec0.85,1.0,610.0,326.0,0.5344262295081967,3.172109503067484,6598.0,1492.0,5.0,1.0,1.0,0.0,793.0,0.0,414.0,0.0,0.0,0.0
500m_2Mbps_inc0.5_dec0.85,1.0,1221.0,278.0,0.2276822276822276,2.8416806618705035,3138.0,2095.0,5.0,1.0,1.0,0.0,1400.0,0.0,119.0,0.0,0.0,0.0
500m_3Mbps_inc0.5_dec0.85,1.0,1830.0,281.0,0.153551912568306,2.679456131672598,2845.0,2907.0,5.0,1.0,1.0,0.0,1934.0,0.0,128.0,0.0,0.0,0.0
500m_1Mbps_inc0.9_dec0.85,1.0,610.0,326.0,0.5344262295081967,3.172109503067484,6598.0,1492.0,5.0,1.0,1.0,0.0,793.0,0.0,414.0,0.0,0.0,0.0
500m_2Mbps_inc0.9_dec0.85,1.0,1221.0,278.0,0.2276822276822276,2.8416806618705035,3138.0,2095.0,5.0,1.0,1.0,0.0,1400.0,0.0,119.0,0.0,0.0,0.0
500m_3Mbps_inc0.9_dec0.85,1.0,1830.0,281.0,0.153551912568306,2.679456131672598,2845.0,2907.0,5.0,1.0,1.0,0.0,1934.0,0.0,128.0,0.0,0.0,0.0
1000m_1Mbps_inc0.5_dec0.85,1.0,610.0,106.0,0.1737704918032787,2.616774613207548,5796.0,706.0,8.0,1.0,1.0,0.0,812.0,0.0,414.0,0.0,0.0,0.0
1000m_2Mbps_inc0.5_dec0.85,1.0,1220.0,609.0,0.4991803278688524,2.6450334039408867,8793.0,7038.0,8.0,1.0,1.0,0.0,1127.0,0.0,555.0,0.0,0.0,0.0
1000m_3Mbps_inc0.5_dec0.85,1.0,1831.0,558.0,0.3047515019115238,2.7193146612903227,8936.0,8384.0,8.0,1.0,1.0,0.0,2093.0,0.0,461.0,0.0,0.0,0.0
1000m_1Mbps_inc0.9_dec0.85,1.0,610.0,106.0,0.1737704918032787,2.616774613207548,5796.0,706.0,8.0,1.0,1.0,0.0,812.0,0.0,414.0,0.0,0.0,0.0
1000m_2Mbps_inc0.9_dec0.85,1.0,1220.0,609.0,0.4991803278688524,2.6450334039408867,8793.0,7038.0,8.0,1.0,1.0,0.0,1127.0,0.0,555.0,0.0,0.0,0.0
1000m_3Mbps_inc0.9_dec0.85,1.0,1831.0,558.0,0.3047515019115238,2.7193146612903227,8936.0,8384.0,8.0,1.0,1.0,0.0,2093.0,0.0,461.0,0.0,0.0,0.0
1200m_1Mbps_inc0.5_dec0.85,1.0,610.0,590.0,0.9672131147540984,0.0087195830508474,150.0,4801.0,8.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1200m_2Mbps_inc0.5_dec0.85,1.0,1221.0,1200.0,0.9828009828009828,0.0151260649999999,246.0,9683.0,8.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
1200m_3Mbps_inc0.5_dec0.85,1.0,1831.0,1807.0,0.9868924085199344,0.0566464892086331,3958.0,14543.0,8.0,1.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0
1200m_1Mbps_inc0.9_dec0.85,1.0,610.0,590.0,0.9672131147540984,0.0087195830508474,150.0,4801.0,8.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1200m_2Mbps_inc0.9_dec0.85,1.0,1221.0,1200.0,0.9828009828009828,0.0151260649999999,246.0,9683.0,8.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
1200m_3Mbps_inc0.9_dec0.85,1.0,1831.0,1807.0,0.9868924085199344,0.0566464892086331,3958.0,14543.0,8.0,1.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0
500m_1Mbps_inc0.7_dec0.75,1.0,610.0,326.0,0.5344262295081967,3.172109503067484,6598.0,1492.0,5.0,1.0,1.0,0.0,793.0,0.0,414.0,0.0,0.0,0.0
500m_2Mbps_inc0.7_dec0.75,1.0,1221.0,278.0,0.2276822276822276,2.8416806618705035,3138.0,2095.0,5.0,1.0,1.0,0.0,1400.0,0.0,119.0,0.0,0.0,0.0
500m_3Mbps_inc0.7_dec0.75,1.0,1830.0,281.0,0.153551912568306,2.679456131672598,2845.0,2907.0,5.0,1.0,1.0,0.0,1934.0,0.0,128.0,0.0,0.0,0.0
500m_1Mbps_inc0.7_dec0.95,1.0,610.0,326.0,0.5344262295081967,3.172109503067484,6598.0,1492.0,5.0,1.0,1.0,0.0,793.0,0.0,414.0,0.0,0.0,0.0
500m_2Mbps_inc0.7_dec0.95,1.0,1221.0,278.0,0.2276822276822276,2.8416806618705035,3138.0,2095.0,5.0,1.0,1.0,0.0,1400.0,0.0,119.0,0.0,0.0,0.0
500m_3Mbps_inc0.7_dec0.95,1.0,1830.0,281.0,0.153551912568306,2.679456131672598,2845.0,2907.0,5.0,1.0,1.0,0.0,1934.0,0.0,128.0,0.0,0.0,0.0
1000m_1Mbps_inc0.7_dec0.75,1.0,610.0,106.0,0.1737704918032787,2.616774613207548,5796.0,706.0,8.0,1.0,1.0,0.0,812.0,0.0,414.0,0.0,0.0,0.0
1000m_2Mbps_inc0.7_dec0.75,1.0,1220.0,609.0,0.4991803278688524,2.6450334039408867,8793.0,7038.0,8.0,1.0,1.0,0.0,1127.0,0.0,555.0,0.0,0.0,0.0
1000m_3Mbps_inc0.7_dec0.75,1.0,1831.0,558.0,0.3047515019115238,2.7193146612903227,8936.0,8384.0,8.0,1.0,1.0,0.0,2093.0,0.0,461.0,0.0,0.0,0.0
1000m_1Mbps_inc0.7_dec0.95,1.0,610.0,106.0,0.1737704918032787,2.616774613207548,5796.0,706.0,8.0,1.0,1.0,0.0,812.0,0.0,414.0,0.0,0.0,0.0
1000m_2Mbps_inc0.7_dec0.95,1.0,1220.0,609.0,0.4991803278688524,2.6450334039408867,8793.0,7038.0,8.0,1.0,1.0,0.0,1127.0,0.0,555.0,0.0,0.0,0.0
1000m_3Mbps_inc0.7_dec0.95,1.0,1831.0,558.0,0.3047515019115238,2.7193146612903227,8936.0,8384.0,8.0,1.0,1.0,0.0,2093.0,0.0,461.0,0.0,0.0,0.0
1200m_1Mbps_inc0.7_dec0.75,1.0,610.0,590.0,0.9672131147540984,0.0087195830508474,150.0,4801.0,8.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1200m_2Mbps_inc0.7_dec0.75,1.0,1221.0,1200.0,0.9828009828009828,0.0151260649999999,246.0,9683.0,8.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
