Experiment,Run No,Packets Generated,Packets Received,PDR,Avg Delay,#Retransmissions,#Forwards,Avg Route Length,%Route Uptime,%HQ Route Uptime,Route Switches,Packet Drop (Expiry),Packet Drop (Queue Management),Packet Drop (Retry),Packet Drop (Overflow),Packet Drop (No Route),Packet Reinserted (TCP)
mcs0_2Mbps,1.0,56.0,54.0,0.9642857142857144,0.016132574074074,0.0,438.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mcs0_3Mbps,1.0,18301.0,655.0,0.0357903939675427,1.6996224320610689,22758.0,56899.0,8.0,1.0,1.0,0.0,17427.0,0.0,222.0,0.0,0.0,0.0
mcs0_4Mbps,1.0,24401.0,446.0,0.0182779394287119,1.499090533632287,9501.0,52595.0,8.0,1.0,1.0,0.0,23910.0,0.0,46.0,0.0,0.0,0.0
mcs1_2Mbps,1.0,12201.0,12185.0,0.9986886320793378,0.0114014069757899,314.0,97540.0,8.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
mcs1_3Mbps,1.0,18300.0,12763.0,0.697431693989071,2.588543385646008,49596.0,127538.0,8.0,1.0,1.0,0.0,5465.0,0.0,373.0,0.0,0.0,0.0
mcs1_4Mbps,1.0,24401.0,4287.0,0.1756895209212737,2.621004281782132,32024.0,114589.0,8.0,1.0,1.0,0.0,20875.0,0.0,240.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_0.7inc_1.1dec,1.0,12201.0,368.0,0.0301614621752315,2.864199440217391,3418.0,73206.0,8.0,1.0,1.0,0.0,12494.0,0.0,70.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_0.7inc_1.3dec,1.0,18300.0,169.0,0.0092349726775956,2.1737316804733724,7842.0,55021.0,8.0,1.0,1.0,0.0,19401.0,0.0,205.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_0.7inc_1.5dec,1.0,24401.0,118.0,0.0048358673824843,2.70037045762712,7830.0,73300.0,8.0,1.0,1.0,0.0,25551.0,0.0,278.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_0.7inc_1.1dec,1.0,12201.0,368.0,0.0301614621752315,2.864199440217391,3418.0,73206.0,8.0,1.0,1.0,0.0,12494.0,0.0,70.0,0.0,0.0,0.0
