Experiment,Run No,Packets Generated,Packets Received,PDR,Avg Delay,#Retransmissions,#Forwards,Avg Route Length,%Route Uptime,%HQ Route Uptime,Route Switches,Packet Drop (Expiry),Packet Drop (Queue Management),Packet Drop (Retry),Packet Drop (Overflow),Packet Drop (No Route),Packet Reinserted (TCP)
mcs0_2Mbps,1.0,12201.0,12201.0,1.0,0.0162017101876895,177.0,97608.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mcs0_3Mbps,1.0,18301.0,587.0,0.0320747500136604,1.582511494037479,22948.0,56897.0,8.0,1.0,1.0,0.0,17481.0,0.0,244.0,0.0,0.0,0.0
mcs0_4Mbps,1.0,24401.0,493.0,0.0202040899963116,1.564386551724138,9608.0,52855.0,8.0,1.0,1.0,0.0,23860.0,0.0,53.0,0.0,0.0,0.0
mcs1_2Mbps,1.0,12201.0,12184.0,0.9986066715842964,0.0112307912836506,326.0,97534.0,8.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
mcs1_3Mbps,1.0,18301.0,12825.0,0.7007813780667723,2.609514618245614,49618.0,127911.0,8.0,1.0,1.0,0.0,5395.0,0.0,375.0,0.0,0.0,0.0
mcs1_4Mbps,1.0,24400.0,4331.0,0.1775,2.629066019856846,32078.0,114609.0,8.0,1.0,1.0,0.0,20735.0,0.0,289.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_0.7inc_1.1dec,1.0,12201.0,392.0,0.0321285140562249,8.739481132653061,1625.0,85334.0,8.0,1.0,1.0,0.0,12166.0,0.0,35.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_0.7inc_1.3dec,1.0,18301.0,161.0,0.0087973334790448,2.089194590062112,7962.0,55034.0,8.0,1.0,1.0,0.0,19482.0,0.0,222.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_0.7inc_1.5dec,1.0,24401.0,97.0,0.0039752469161099,2.249321278350516,4856.0,73252.0,8.0,1.0,1.0,0.0,25390.0,0.0,287.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_0.7inc_1.1dec,1.0,12201.0,392.0,0.0321285140562249,8.739481132653061,1625.0,85334.0,8.0,1.0,1.0,0.0,12166.0,0.0,35.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_0.7inc_1.3dec,1.0,18301.0,161.0,0.0087973334790448,2.089194590062112,7962.0,55034.0,8.0,1.0,1.0,0.0,19482.0,0.0,222.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_0.7inc_1.5dec,1.0,24401.0,97.0,0.0039752469161099,2.249321278350516,4856.0,73252.0,8.0,1.0,1.0,0.0,25390.0,0.0,287.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_0.7inc_1.1dec,1.0,12201.0,392.0,0.0321285140562249,8.739481132653061,1625.0,85334.0,8.0,1.0,1.0,0.0,12166.0,0.0,35.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_0.7inc_1.3dec,1.0,18301.0,161.0,0.0087973334790448,2.089194590062112,7962.0,55034.0,8.0,1.0,1.0,0.0,19482.0,0.0,222.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_0.7inc_1.5dec,1.0,24401.0,97.0,0.0039752469161099,2.249321278350516,4856.0,73252.0,8.0,1.0,1.0,0.0,25390.0,0.0,287.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_0.9inc_1.1dec,1.0,12201.0,392.0,0.0321285140562249,8.739481132653061,1625.0,85334.0,8.0,1.0,1.0,0.0,12166.0,0.0,35.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_0.9inc_1.3dec,1.0,18301.0,259.0,0.0141522321184634,2.441075818532818,58484.0,652.0,8.0,1.0,1.0,0.0,35207.0,0.0,427.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_0.9inc_1.5dec,1.0,24401.0,76.0,0.0031146264497356,2.0534905526315788,47539.0,1820.0,8.0,1.0,1.0,0.0,41717.0,0.0,429.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_0.9inc_1.1dec,1.0,12201.0,392.0,0.0321285140562249,8.739481132653061,1625.0,85334.0,8.0,1.0,1.0,0.0,12166.0,0.0,35.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_0.9inc_1.3dec,1.0,18301.0,259.0,0.0141522321184634,2.441075818532818,58484.0,652.0,8.0,1.0,1.0,0.0,35207.0,0.0,427.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_0.9inc_1.5dec,1.0,24401.0,76.0,0.0031146264497356,2.0534905526315788,47539.0,1820.0,8.0,1.0,1.0,0.0,41717.0,0.0,429.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_0.9inc_1.1dec,1.0,12201.0,392.0,0.0321285140562249,8.739481132653061,1625.0,85334.0,8.0,1.0,1.0,0.0,12166.0,0.0,35.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_0.9inc_1.3dec,1.0,18301.0,259.0,0.0141522321184634,2.441075818532818,58484.0,652.0,8.0,1.0,1.0,0.0,35207.0,0.0,427.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_0.9inc_1.5dec,1.0,24401.0,76.0,0.0031146264497356,2.0534905526315788,47539.0,1820.0,8.0,1.0,1.0,0.0,41717.0,0.0,429.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_1.1inc_1.1dec,1.0,12201.0,155.0,0.0127038767314154,2.348395496774194,51147.0,253.0,8.0,1.0,1.0,0.0,22056.0,0.0,365.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_1.1inc_1.3dec,1.0,18301.0,92.0,0.0050270477023113,1.4314546304347826,53942.0,381.0,8.0,1.0,1.0,0.0,32967.0,0.0,408.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_1.1inc_1.5dec,1.0,24401.0,102.0,0.004180156550961,3.239956764705882,47206.0,381.0,8.0,1.0,1.0,0.0,43741.0,0.0,528.0,0.0,0.0,0.0
mcs_adaptive_2Mbps_1.1inc_1.1dec,1.0,12201.0,155.0,0.0127038767314154,2.348395496774194,51147.0,253.0,8.0,1.0,1.0,0.0,22056.0,0.0,365.0,0.0,0.0,0.0
mcs_adaptive_3Mbps_1.1inc_1.3dec,1.0,18301.0,92.0,0.0050270477023113,1.4314546304347826,53942.0,381.0,8.0,1.0,1.0,0.0,32967.0,0.0,408.0,0.0,0.0,0.0
mcs_adaptive_4Mbps_1.1inc_1.5dec,1.0,24401.0,102.0,0.004180156550961,3.239956764705882,47206.0,381.0,8.0,1.0,1.0,0.0,43741.0,0.0,528.0,0.0,0.0,0.0
